type,userid,segmentid,bounceid,realcid,sendid,threadid,seriesid,formid,basetemplateid,basemessageid,addressid,source,name,cdate,mdate,sdate,ldate,send_amt,total_amt,opens,uniqueopens,linkclicks,uniquelinkclicks,subscriberclicks,forwards,uniqueforwards,hardbounces,softbounces,unsubscribes,unsubreasons,updates,socialshares,replies,uniquereplies,status,public,mail_transfer,mail_send,mail_cleanup,mailer_log_file,tracklinks,tracklinksanalytics,trackreads,trackreadsanalytics,analytics_campaign_name,tweet,facebook,survey,embed_images,htmlunsub,textunsub,htmlunsubdata,textunsubdata,recurring,willrecur,split_type,split_content,split_offset,split_offset_type,split_winner_messageid,split_winner_awaiting,responder_offset,responder_type,responder_existing,reminder_field,reminder_format,reminder_type,reminder_offset,reminder_offset_type,reminder_offset_sign,reminder_last_cron_run,activerss_interval,activerss_url,activerss_items,ip4,laststep,managetext,schedule,scheduleddate,waitpreview,deletestamp,replysys,created_timestamp,updated_timestamp,created_by,updated_by,ip,series_send_lock_time,can_skip_approval,use_quartz_scheduler,verified_opens,verified_unique_opens,predictive_send,repair_timestamp,has_outdated_translations,has_translations,additional_data,moderation_status,segmentname,has_predictive_content,message_id,screenshot,campaign_message_id,ed_version,format,links,id,user,automation
,,,,,,,,,,,,,Free Fries Friday,2025-04-21 00:00:46.409371,,,,,,148,110,55,31,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-21 00:00:46.409371,,,,,,140,92,50,25,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-21 00:00:46.409371,,,,,,171,109,58,43,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-21 00:00:46.409371,,,,,,151,76,52,37,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-21 00:00:46.409371,,,,,,133,92,50,42,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-21 00:00:46.409371,,,,,,150,104,50,41,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-21 00:00:46.409371,,,,,,151,113,55,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-21 00:00:46.409371,,,,,,164,115,47,29,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-22 00:00:46.409371,,,,,,191,113,38,22,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-22 00:00:46.409371,,,,,,201,107,41,26,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-22 00:00:46.409371,,,,,,166,108,47,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-22 00:00:46.409371,,,,,,206,160,58,36,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-22 00:00:46.409371,,,,,,198,102,78,57,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-22 00:00:46.409371,,,,,,189,150,46,29,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-22 00:00:46.409371,,,,,,168,103,38,25,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-22 00:00:46.409371,,,,,,166,104,36,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-22 00:00:46.409371,,,,,,184,119,60,33,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-23 00:00:46.409371,,,,,,170,102,65,36,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-23 00:00:46.409371,,,,,,170,131,34,30,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-23 00:00:46.409371,,,,,,181,123,56,38,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-23 00:00:46.409371,,,,,,174,113,43,31,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-23 00:00:46.409371,,,,,,160,121,53,34,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-23 00:00:46.409371,,,,,,177,120,49,42,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-23 00:00:46.409371,,,,,,160,93,57,43,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-23 00:00:46.409371,,,,,,177,118,51,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-23 00:00:46.409371,,,,,,170,85,54,47,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-24 00:00:46.409371,,,,,,162,109,54,29,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-24 00:00:46.409371,,,,,,141,110,33,27,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-24 00:00:46.409371,,,,,,152,118,50,26,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-24 00:00:46.409371,,,,,,177,91,56,28,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-24 00:00:46.409371,,,,,,154,96,31,26,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-24 00:00:46.409371,,,,,,160,85,45,27,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-24 00:00:46.409371,,,,,,161,106,57,32,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-24 00:00:46.409371,,,,,,154,81,51,31,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-24 00:00:46.409371,,,,,,172,126,59,37,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,AI Tips Newsletter,2025-04-25 00:00:46.409371,,,,,,159,122,60,47,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Job Alerts,2025-04-25 00:00:46.409371,,,,,,140,110,39,27,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,UMD RecWell Notice,2025-04-25 00:00:46.409371,,,,,,151,112,44,29,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Free Fries Friday,2025-04-25 00:00:46.409371,,,,,,133,100,53,27,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Newsletter,2025-04-25 00:00:46.409371,,,,,,153,110,34,23,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Promo Blast,2025-04-25 00:00:46.409371,,,,,,176,108,62,47,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Weekly Update,2025-04-25 00:00:46.409371,,,,,,142,101,31,21,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,, Career Hack Alert,2025-04-25 00:00:46.409371,,,,,,173,93,41,20,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,50% Pro Discount,2025-04-25 00:00:46.409371,,,,,,153,76,39,33,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
