source,author,title,description,url,urlToImage,publishedAt,content,fetched_date,date,hour,text,keywords
"{'id': None, 'name': 'Lawyersgunsmoneyblog.com'}",Shakezula,Hacking into an app used by tRump goons takes 15 to 20 times longer than falling in love,"In the anti-rational world of the fascist, transgender servicemembers, who each have more patriotism in the tip of one pinky finger than DOD Sec. Pete Hegseth has in his entire gin-pickled body, are an intolerable threat to U.S. security. But a debauched shud…",https://www.lawyersgunsmoneyblog.com/2025/05/hacking-into-an-app-used-by-trump-goons-takes-15-to-20-times-longer-than-falling-in-love,https://www.lawyersgunsmoneyblog.com/wp-content/uploads/2025/05/image-9-1024x683.png,2025-05-07 02:00:08+00:00,"Unsplash – Joan Gamell 
In the anti-rational world of the fascist, transgender servicemembers, who each have more patriotism in the tip of one pinky finger than DOD Sec. Pete Hegseth has in his enti… [+2573 chars]",2025-05-07,2025-05-07,2,"Hacking into an app used by tRump goons takes 15 to 20 times longer than falling in love In the anti-rational world of the fascist, transgender servicemembers, who each have more patriotism in the tip of one pinky finger than DOD Sec. Pete Hegseth has in his entire gin-pickled body, are an intolerable threat to U.S. security. But a debauched shud…","['hacking', 'trump goons', 'anti-rational world', 'transgender servicemembers', 'pinky finger', 'dod sec', 'pete hegseth', 'intolerable threat', 'u.s.']"
"{'id': None, 'name': 'Decrypt'}",Sebastian Sinclair,"Bitcoin, Gold Rise as Investors Await Fed Decision Amid Global Tensions",Gold advanced and Bitcoin held firm Tuesday as investors braced for the Fed’s policy decision and weighed geopolitical and trade tensions.,https://decrypt.co/318246/bitcoin-gold-rise-investors-fed-decision-global-tensions,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2020/11/Bitcoin-3-gID_7.jpg,2025-05-07 01:35:54+00:00,"In brief
<ul><li>Gold rose 0.7% to $3,357 while Bitcoin hovered near $97,500 ahead of the Fed's rate decision.</li><li>An upcoming Fed meeting is widely expected to hold rates steady at 4.25%4.50% o… [+2740 chars]",2025-05-07,2025-05-07,1,"Bitcoin, Gold Rise as Investors Await Fed Decision Amid Global Tensions Gold advanced and Bitcoin held firm Tuesday as investors braced for the Fed’s policy decision and weighed geopolitical and trade tensions.","['bitcoin', 'rise', 'await fed decision amid global tensions', 'bitcoin', 'fed', '’ s policy decision', 'trade tensions']"
"{'id': None, 'name': 'newsBTC'}",Christian Encila,"Bitcoin Mining Giant Abandons Full-Hold Strategy, Unloads $40M In Crypto","Riot Platforms sold 475 Bitcoin worth $38.8 million in December as profit margins narrow throughout the mining sector. The Colorado firm, the second-largest publicly traded Bitcoin miner by market capitalization, sold the cryptocurrency at an average price of…",http://www.newsbtc.com/bitcoin-news/bitcoin-mining-giant-abandons-full-hold-strategy-unloads-40m-in-crypto/,https://www.newsbtc.com/wp-content/uploads/2025/05/a_1208bf.jpg?fit=2560%2C1438,2025-05-07 01:30:32+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+3451 chars]",2025-05-07,2025-05-07,1,"Bitcoin Mining Giant Abandons Full-Hold Strategy, Unloads $40M In Crypto Riot Platforms sold 475 Bitcoin worth $38.8 million in December as profit margins narrow throughout the mining sector. The Colorado firm, the second-largest publicly traded Bitcoin miner by market capitalization, sold the cryptocurrency at an average price of…","['bitcoin mining giant abandons full-hold strategy', 'unloads', 'crypto riot platforms', 'bitcoin', 'worth $', 'profit margins', 'colorado', 'bitcoin', 'market capitalization', 'average price of…']"
"{'id': None, 'name': 'Independent.ie'}",John Burns,"Exposure to crypto ‘leads to risks on other investments’, according to new research","People who are exposed to information about cryptocurrency are more likely to take risks with other investments, according to new research from the UCD Michael Smurfit Graduate Business School. The effect is stronger for those who are less well off.",https://www.independent.ie/business/exposure-to-crypto-leads-to-risks-on-other-investments-according-to-new-research/a606040741.html,https://focus.independent.ie/thumbor/pxYs3O0ImHJsWtbzPep2FGswaBg=/629x460/smart/prod-mh-ireland/65e0675d-ad62-4757-949b-32a88b6025e9/a9a2770b-d274-449c-ac32-51d7bc9436e8/IB%20Assistant%20Professor%20%282%29.jpg,2025-05-07 01:30:00+00:00,"People who are exposed to information about cryptocurrency are more likely to take risks with other investments, according to new research from the UCD Michael Smurfit Graduate Business School. The e… [+2848 chars]",2025-05-07,2025-05-07,1,"Exposure to crypto ‘leads to risks on other investments’, according to new research People who are exposed to information about cryptocurrency are more likely to take risks with other investments, according to new research from the UCD Michael Smurfit Graduate Business School. The effect is stronger for those who are less well off.","['exposure', 'crypto ‘', 'investments ’', 'new research people', 'new research', 'ucd michael smurfit', 'graduate business school']"
"{'id': None, 'name': 'Biztoc.com'}",zerohedge.com,Ghost In The Machine: A Q&A With SatoshiAI,"Ghost In The Machine: A Q&A With SatoshiAI
 
Authored by Dennis Koch via BitcoinMagazine.com,
Bootoshi is one of the more curious minds pushing the boundaries of art, AI, and bitcoin. Part builder, artist, and tinkerer, he’ll be bringing his latest work to bo…",https://biztoc.com/x/16bcfdb084a64d13,https://biztoc.com/cdn/16bcfdb084a64d13_s.webp,2025-05-07 01:12:30+00:00,"Ghost In The Machine: A Q&amp;A With SatoshiAI
Authored by Dennis Koch via BitcoinMagazine.com,Bootoshi is one of the more curious minds pushing the boundaries of art, AI, and bitcoin. Part builder,… [+149 chars]",2025-05-07,2025-05-07,1,"Ghost In The Machine: A Q&A With SatoshiAI Ghost In The Machine: A Q&A With SatoshiAI
 
Authored by Dennis Koch via BitcoinMagazine.com,
Bootoshi is one of the more curious minds pushing the boundaries of art, AI, and bitcoin. Part builder, artist, and tinkerer, he’ll be bringing his latest work to bo…","['ghost', 'machine', 'satoshiai ghost', 'machine', 'satoshiai authored', 'dennis koch', 'bitcoinmagazine.com', 'bootoshi', 'curious minds', 'part', '’ ll']"
"{'id': None, 'name': 'Biztoc.com'}",coindesk.com,Bitcoin Races Above $97K on U.S./China Trade Deal Progress,"A thawing in the trade stance from both the U.S. and China has sent risk assets higher in the hours since the U.S. stock market closed on Wednesday.
""The current tariffs and trade barriers are unsustainable, but we don’t want to decouple,"" said U.S. Treasury …",https://biztoc.com/x/d2e0d35237a537d3,https://biztoc.com/cdn/d2e0d35237a537d3_s.webp,2025-05-07 01:12:08+00:00,"A thawing in the trade stance from both the U.S. and China has sent risk assets higher in the hours since the U.S. stock market closed on Wednesday.""The current tariffs and trade barriers are unsusta… [+140 chars]",2025-05-07,2025-05-07,1,"Bitcoin Races Above $97K on U.S./China Trade Deal Progress A thawing in the trade stance from both the U.S. and China has sent risk assets higher in the hours since the U.S. stock market closed on Wednesday.
""The current tariffs and trade barriers are unsustainable, but we don’t want to decouple,"" said U.S. Treasury …","['bitcoin races', 'u.s./china', 'deal', 'trade stance', 'u.s.', 'china', 'risk assets', 'u.s.', 'stock market', 'current tariffs', 'trade barriers', 'don ’ t', 'u.s.', 'treasury …']"
"{'id': None, 'name': 'Decrypt'}",Mathew Di Salvo,Benchmark Is Bullish on Bitcoin Miner Maker Canaan With 5X Price Target,"Investment bank Benchmark slapped Bitcoin miner manufacturer Canaan with a ""buy"" rating in a Tuesday note, projecting a sizable price spike.",https://decrypt.co/318173/benchmark-bullish-bitcoin-miner-maker-canaan,https://cdn.decrypt.co/resize/1024/height/512/wp-content/uploads/2024/04/Bitcoin-Mining-Rigs-shutterstock_2023647059-gID_7.jpg,2025-05-07 01:01:02+00:00,"In brief
<ul><li>Bitcoin hardware company Canaan is diversifying its revenue streams.</li><li>This will help the company be a good buy, says a Benchmark analyst. </li><li>The companys stock has been… [+2216 chars]",2025-05-07,2025-05-07,1,"Benchmark Is Bullish on Bitcoin Miner Maker Canaan With 5X Price Target Investment bank Benchmark slapped Bitcoin miner manufacturer Canaan with a ""buy"" rating in a Tuesday note, projecting a sizable price spike.","['benchmark', 'bullish', 'bitcoin miner maker canaan', 'price target', 'investment bank', 'benchmark', 'bitcoin', 'miner manufacturer', 'canaan', 'sizable price spike']"
"{'id': None, 'name': 'CryptoSlate'}",Andjela Radmilac,Quiet mempool and flat volume could mean limited fuel for Bitcoin’s breakout above $100k,"With Bitcoin attempting to break the crucial $95,000 to $96,000 threshold, it faces significant headwinds rooted in an increasingly dormant on-chain environment. Although the price has hovered optimistically close to the critical $100,000 barrier, stagnant bl…",https://cryptoslate.com/quiet-mempool-and-flat-volume-could-mean-limited-fuel-for-bitcoins-breakout-above-100k/,https://cryptoslate.com/wp-content/uploads/2025/05/bitcoin-quiet.jpg,2025-05-07 01:00:57+00:00,"What is CryptoSlate Alpha?
CryptoSlate Alpha requires a one-time purchase of our membership NFT using SOL, the native token of Solana. Connecting your Solana wallet is required to complete the purch… [+609 chars]",2025-05-07,2025-05-07,1,"Quiet mempool and flat volume could mean limited fuel for Bitcoin’s breakout above $100k With Bitcoin attempting to break the crucial $95,000 to $96,000 threshold, it faces significant headwinds rooted in an increasingly dormant on-chain environment. Although the price has hovered optimistically close to the critical $100,000 barrier, stagnant bl…","['quiet', 'flat volume', 'bitcoin', '’ s breakout', 'bitcoin', 'crucial $', 'significant headwinds', 'dormant on-chain environment', 'critical $', 'stagnant bl…']"
"{'id': None, 'name': 'CoinDesk'}",Stephen Alpher,Bitcoin Races Above $97K on U.S./China Trade Deal Progress,Treasury Secretary Scott Bessent is headed to Switzerland for talks with Chinese representatives.,https://www.coindesk.com/markets/2025/05/06/bitcoin-races-above-97k-on-uschina-trade-deal-progress,https://cdn.sanity.io/images/s3y3vcno/production/001b677cc485afd9a51ec2c96db9af60f1fcfdfc-5806x3871.jpg?auto=format,2025-05-07 00:57:00+00:00,"A thawing in the trade stance from both the U.S. and China has sent risk assets higher in the hours since the U.S. stock market closed on Wednesday.
""The current tariffs and trade barriers are unsus… [+812 chars]",2025-05-07,2025-05-07,0,Bitcoin Races Above $97K on U.S./China Trade Deal Progress Treasury Secretary Scott Bessent is headed to Switzerland for talks with Chinese representatives.,"['bitcoin races', 'u.s./china', 'deal', 'progress treasury secretary', 'scott bessent', 'switzerland', 'chinese representatives']"
"{'id': None, 'name': 'Ambcrypto.com'}",Samyukhtha L KM,Is Bitcoin quietly gearing up for a major breakout amid economic chaos?,"As U.S. economic chaos intensifies, Bitcoin sees renewed demand.",https://ambcrypto.com/is-bitcoin-quietly-gearing-up-for-a-major-breakout-amid-economic-chaos/,https://ambcrypto.com/wp-content/uploads/2025/05/Samyukhtha-19-1-1000x600.webp,2025-05-07 00:00:58+00:00,"<ul><li>Bitcoin gains traction as U.S. economic uncertainty hits record highs, boosting its safe haven appeal.</li><li>Declining BTC inflows to Binance signal reduced sell pressure and growing long-t… [+2505 chars]",2025-05-07,2025-05-07,0,"Is Bitcoin quietly gearing up for a major breakout amid economic chaos? As U.S. economic chaos intensifies, Bitcoin sees renewed demand.","['bitcoin', 'major breakout', 'economic chaos', 'u.s.', 'economic chaos intensifies', 'bitcoin']"
"{'id': None, 'name': 'The Daily Hodl'}",Daily Hodl Staff,Arthur Hayes Says Setup Is Perfect for 2022-Style Rally in Risk Assets Amid Fear and Uncertainty,"BitMEX founder Arthur Hayes says that the crypto market may be gearing up for a 2022-style breakout amid fear, uncertainty and doubt (FUD). In a new interview with the host of the Crypto Banter YouTube channel Ran Neuner, Hayes says central banks will likely …",https://dailyhodl.com/2025/05/06/arthur-hayes-says-setup-is-perfect-for-2022-style-rally-in-risk-assets-amid-fear-and-uncertainty/,https://dailyhodl.com/wp-content/uploads/2025/05/arthur-setup-perfect-risk.jpg,2025-05-07 00:00:39+00:00,"BitMEX founder Arthur Hayes says that the crypto market may be gearing up for a 2022-style breakout amid fear, uncertainty and doubt (FUD).
In a new interview with the host of the Crypto Banter YouT… [+1573 chars]",2025-05-07,2025-05-07,0,"Arthur Hayes Says Setup Is Perfect for 2022-Style Rally in Risk Assets Amid Fear and Uncertainty BitMEX founder Arthur Hayes says that the crypto market may be gearing up for a 2022-style breakout amid fear, uncertainty and doubt (FUD). In a new interview with the host of the Crypto Banter YouTube channel Ran Neuner, Hayes says central banks will likely …","['arthur hayes says setup', 'perfect', 'rally', 'risk assets amid fear', 'uncertainty bitmex', 'arthur hayes', 'crypto market', 'fud', 'new interview', 'crypto banter youtube', 'ran neuner', 'hayes', 'central banks', 'likely …']"
"{'id': None, 'name': 'newsBTC'}",Scott Matherson,XRP Price Still On Bullish Path To $5 As Long As This Level Holds,"The XRP price continues to show strong bullish signals in the medium term, with a crypto analyst forecasting a significant move to a new ATH. Despite ongoing market fluctuations, the cryptocurrency continues to hold key levels, maintaining a bullish path towa…",http://www.newsbtc.com/analysis/xrp/xrp-still-on-bullish-path/,https://www.newsbtc.com/wp-content/uploads/2025/05/XRP-from-Getty-Images-4.jpg?fit=612%2C408,2025-05-07 00:00:08+00:00,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+3179 chars]",2025-05-07,2025-05-07,0,"XRP Price Still On Bullish Path To $5 As Long As This Level Holds The XRP price continues to show strong bullish signals in the medium term, with a crypto analyst forecasting a significant move to a new ATH. Despite ongoing market fluctuations, the cryptocurrency continues to hold key levels, maintaining a bullish path towa…","['xrp price', 'bullish path', 'level holds', 'xrp', 'strong bullish signals', 'medium term', 'crypto analyst', 'ath', 'market fluctuations', 'key levels', 'bullish path towa…']"
"{'id': None, 'name': 'Bangkok Post'}",Nuntawun Polkuamdee,"Analysts see Bitcoin at $100,000 soon","Crypto analysts expect Bitcoin to soar to US$100,000, even if the Federal Open Market Committee (FOMC) keeps interest rates unchanged at its meeting this week, based on strong institutional buying of spot Bitcoin exchange-traded funds (ETFs).",https://www.bangkokpost.com/business/investment/3020240/analysts-see-bitcoin-at-100-000-soon,https://static.bangkokpost.com/media/content/dcx/2025/05/08/5595165_700.jpg,2025-05-07 23:40:00+00:00,"Crypto analysts expect Bitcoin to soar to US$100,000, even if the Federal Open Market Committee (FOMC) keeps interest rates unchanged at its meeting this week, based on strong institutional buying of… [+2458 chars]",2025-05-06,2025-05-07,23,"Analysts see Bitcoin at $100,000 soon Crypto analysts expect Bitcoin to soar to US$100,000, even if the Federal Open Market Committee (FOMC) keeps interest rates unchanged at its meeting this week, based on strong institutional buying of spot Bitcoin exchange-traded funds (ETFs).","['bitcoin', 'crypto', 'bitcoin', 'us $', 'federal open', 'market', 'fomc', 'interest rates', 'strong institutional buying', 'bitcoin', 'etfs']"
"{'id': None, 'name': 'Biztoc.com'}",cnbc.com,Trump crypto advisor David Bailey launching $300 million bitcoin investment company,"David Bailey, CEO of BTC Inc. and a Trump crypto advisor, has raised $300 million to launch a publicly traded bitcoin investment company.",https://biztoc.com/x/6f4a61ac5b058ef4,https://biztoc.com/cdn/930/og.png,2025-05-07 23:36:35+00:00,"David Bailey, CEO of BTC Inc. and a Trump crypto advisor, has raised $300 million to launch a publicly traded bitcoin investment company.
This story appeared on cnbc.com, 2025-05-07 23:34:56.",2025-05-06,2025-05-07,23,"Trump crypto advisor David Bailey launching $300 million bitcoin investment company David Bailey, CEO of BTC Inc. and a Trump crypto advisor, has raised $300 million to launch a publicly traded bitcoin investment company.","['trump', 'crypto advisor', 'david bailey', 'bitcoin investment company', 'david bailey', 'ceo', 'btc', 'trump', 'crypto advisor', 'bitcoin investment company']"
