keyword,frequency,correlation,max_count,avg_count
white house,30,-0.32637479513936557,4,2.3076923076923075
happened,30,-0.26547422785026736,3,1.5789473684210527
world ’ s,30,0.09990169636674978,4,1.875
defi,30,-0.007309886630723517,8,2.0
federal reserve,29,-0.2557898112043672,5,2.230769230769231
’ re,29,0.21825698495494752,3,1.7058823529411764
us president,29,-0.4269588583211571,5,1.7058823529411764
america,29,0.20627591560162695,3,1.8125
york,28,-0.7646235559979789,7,2.1538461538461537
bloomberg,27,-0.08578461976814954,4,1.8
ada,27,0.027294339964533426,3,1.5
michael saylor,27,-0.11870478415326988,5,1.588235294117647
cryptocurrency market,27,-0.44825209271068056,4,1.588235294117647
elon musk,27,0.007410523119971903,5,2.076923076923077
meme coin,26,0.3792912576801418,4,1.5294117647058822
cryptocurrency,26,0.17910333815648544,3,1.368421052631579
billion,25,0.40924461541417545,3,1.3888888888888888
tesla,25,-0.012299631676682191,12,3.125
infinite-body warlord,24,-0.2010673281973203,5,2.4
canada,24,-0.21555134075114452,4,2.1818181818181817
shiba inu,24,-0.457667481254464,4,2.0
block,23,-0.08636766847030662,8,2.5555555555555554
key,23,0.189371210538693,3,1.7692307692307692
kim-style,23,-0.2645021413264322,5,2.3
blackrock,22,-0.28762489425904847,4,2.2
apple,22,-0.34920074312585053,4,2.0
u.s,22,-0.3798414191396425,4,1.5714285714285714
asia,22,-0.13955623436284184,5,2.0
microstrategy,22,-0.2538290839331233,4,1.4666666666666666
tariffs,22,-0.38624595812119694,6,1.8333333333333333
google,22,-0.3045485170176983,4,1.6923076923076923
ericbot—high-t,21,-0.8910043583657705,5,3.0
bitcoin etfs,21,0.3730783098664544,4,1.6153846153846154
coindesk,20,0.08438877698344023,4,1.6666666666666667
sui,20,0.3477288301302358,5,2.2222222222222223
xploradex,20,-0.39154153027318833,2,1.4285714285714286
coldware,19,0.20894337326303772,4,2.375
powell,19,-0.48424614317580406,7,2.7142857142857144
europe,19,0.04780649189004006,3,1.3571428571428572
hampshire,19,0.4324647706693037,16,6.333333333333333
gains +/-,19,-0.04853306609944296,2,1.1176470588235294
kraken,19,-0.5716443924642038,6,2.111111111111111
france,19,0.34312474154617517,15,4.75
cryptocurrency price,19,-0.34352104637550623,2,1.0555555555555556
related reading,19,-0.5109879181443148,3,1.5833333333333333
financial,18,0.1577364981636,2,1.2857142857142858
bnb,17,-0.20169522472085732,3,1.2142857142857142
crypto exchange,17,-0.3004674562775514,3,1.5454545454545454
ether,17,-0.3571447301363272,3,1.7
netflix,16,0.6198315053190964,4,2.0
protocol,16,0.11024455952780977,3,2.0
doubt,16,0.17786789859945154,5,1.6
fartcoin,16,-0.5280160775929551,5,2.6666666666666665
congress,16,-0.7700123811538453,4,1.6
trade war,16,0.36732432898421724,4,2.0
new interview,15,0.37073449199447184,5,1.3636363636363635
rally,15,0.1970257667412954,2,1.3636363636363635
youtube,15,-0.487995956288324,2,1.3636363636363635
watch,15,-0.14017808585824545,2,1.3636363636363635
switzerland,15,-0.28287166681297454,3,1.6666666666666667
market cap,15,0.005430494076484597,2,1.3636363636363635
swiss national bank,15,-0.16337259515407246,8,5.0
markets,15,-0.0896201829840972,4,1.875
stablecoins,15,-0.28595251371221997,3,1.6666666666666667
global,15,0.03444072292698194,4,1.5
key points,15,0.18922993343879146,5,1.875
bill,15,0.5610970146220221,4,2.142857142857143
past week,15,-0.09080701387121767,4,2.142857142857143
shib,15,0.13101038115461316,3,1.5
warren buffett,15,0.6102720279730628,12,3.75
saylor,15,-0.36639347286570184,6,2.142857142857143
stocks,14,0.01586860459717185,4,2.0
going,14,-0.7121774281360086,4,1.5555555555555556
korea,14,-0.03447860132211127,3,1.4
stock market,13,-0.16369489026807868,3,1.625
pepe,13,-0.39091843827691514,3,2.1666666666666665
xrpl,13,0.3170690595466682,3,1.625
research suggests,13,0.3332474085995075,4,2.1666666666666665
glassnode,13,-0.4984263852104524,4,1.625
bitcoin mining,13,-0.9477759047307001,6,2.1666666666666665
xrp ledger,13,-0.05187656706893112,3,1.8571428571428572
’ s price,13,0.5773348348525598,3,1.625
tariff,13,-0.36818727256925543,2,1.3
tech,13,0.18118131413185587,2,1.3
data,13,0.17388838097995415,3,1.3
top,13,-0.285495982692214,3,1.4444444444444444
cnbc,13,-0.0601799596132368,2,1.1818181818181819
cryptoquant,12,-0.7157565663051522,2,1.2
dubai,12,0.24178095565069782,2,1.5
key takeaways,12,0.27139500338463163,2,1.5
amazon,12,-0.5825300585706454,4,1.7142857142857142
microsoft,12,0.06449057060087529,3,2.0
washington,12,0.27764491522447016,2,1.3333333333333333
isn ’ t,12,0.24240369265335526,3,1.2
bitwise,12,0.09220615877515076,4,2.0
crypto assets,12,0.5688533801801012,2,1.2
silicon,12,-0.49339995392344693,8,3.0
u.s. securities,12,,1,1.0
metaplanet,12,-0.24631481844838568,3,1.5
guest post,12,0.38945322873726723,3,1.5
amid,11,-0.46801707364917094,2,1.1
arthur hayes,11,-0.009500591487515002,3,1.5714285714285714
brazil,11,0.40743801949960795,2,1.375
openai,11,0.6833466286246639,3,2.2
xpl,11,0.2630427156065303,2,1.375
bullish momentum,11,-0.47163416011053366,3,1.5714285714285714
panama,11,-0.9090657286153404,7,3.6666666666666665
vaneck,11,0.728204221939528,4,2.2
read,11,0.2435521023026648,2,1.1
el salvador,11,0.43057371487572194,3,1.5714285714285714
cold,11,0.13045156533526397,2,1.5714285714285714
new all-time highs,11,-0.3306181259686333,2,1.1
link,11,,1,1.0
twenty,11,-0.7314622466069375,4,1.8333333333333333
california,11,0.06681687081445514,4,1.8333333333333333
price,11,,1,1.0
capital,11,0.38073983926299393,2,1.5714285714285714
digital,11,0.3582903450835032,2,1.1
australia,11,0.23756332083547863,2,1.1
xrp etf,11,-0.05358822614048638,3,1.375
nvidia,10,-0.2812255880645379,3,1.25
ethereum etfs,10,-0.41844291368049025,2,1.4285714285714286
kyc,10,-0.036575304421035924,3,2.0
reuters,10,0.6144842133913732,2,1.4285714285714286
coinshares,10,0.7876696027778026,3,2.0
years,10,0.367480885267826,3,1.4285714285714286
digital asset,10,,1,1.0
financial markets,10,0.419057214096016,3,1.6666666666666667
reciprocal tariffs,10,-0.4822014748755796,4,2.5
london,10,-0.4478458752535985,2,1.4285714285714286
cme,10,-0.11603536597663328,3,1.6666666666666667
says,10,-0.6367097025730319,2,1.1111111111111112
central bank,10,-0.18155566545196106,2,1.25
india,10,0.25503978950995077,5,1.6666666666666667
hype,10,-0.4161118576164792,4,1.6666666666666667
following,10,0.3976461634574273,2,1.25
real,10,0.5823257142873446,3,2.0
new thread,10,-0.6208698741510618,2,1.1111111111111112
data shows,10,0.10669727498610443,3,1.4285714285714286
online casinos,10,-0.8991887773506999,4,2.0
xaut,10,0.5904623242341679,7,3.3333333333333335
price predictions,10,,1,1.0
tariff pause,10,-0.9733178201910192,8,3.3333333333333335
blockchain,10,0.49609201093893424,2,1.1111111111111112
tron,10,0.08836828331895064,3,1.4285714285714286
hong kong,10,0.3021913520548752,3,1.6666666666666667
surge,10,-0.40230396096037185,2,1.25
price action,10,-0.5248213397602622,3,1.4285714285714286
usdt,9,0.6358027593389892,3,1.5
fox,9,0.7960929554844731,3,2.25
hell,9,-0.06874481852456364,5,2.25
crypto projects,9,-0.1942197748081212,4,2.25
sam altman,9,0.03396541561623059,4,3.0
doj,9,-0.4055479741636936,3,1.8
’ ve,9,-0.7308174765750903,2,1.5
data centers,9,-0.20900464188474963,2,1.5
usdc,9,0.33968928615856137,3,2.25
rate cuts,9,-0.22783213002917646,4,1.5
mantra,9,-0.19071916492142618,4,2.25
deal,9,0.11832617213632861,3,1.5
katie hobbs,9,0.9985477957743434,4,3.0
crypto entrepreneur,9,0.5167343959412519,6,2.25
polkadot,9,-0.2113703286061825,4,2.25
homeland,9,0.1675694851143748,4,2.25
pakistan,9,0.1434067802106938,4,2.25
cantor fitzgerald,9,-0.29351528620545864,6,3.0
private dinner,9,0.6635589832646092,3,1.8
dow,9,-0.4399038932381235,4,2.25
trend,9,-0.5779959344668423,2,1.2857142857142858
coming,9,-0.004343969124682765,2,1.125
altcoins,9,-0.5206162424014694,4,1.5
interest,9,-0.2587700280950135,2,1.2857142857142858
bitcoin price,9,0.6605978238016524,2,1.2857142857142858
buy bitcoin,9,0.34529968308989845,3,1.2857142857142858
sell,9,0.7253713126020974,2,1.2857142857142858
xendex,9,0.7362335072407089,2,1.5
full editions,9,0.13916570007123075,2,1.125
% increase,9,-0.19061018149996828,2,1.2857142857142858
< /li > < /ul >,9,0.5960224128029122,2,1.2857142857142858
liberty financial,9,-0.07956132039026598,2,1.2857142857142858
cryptocurrency exchange,9,-0.7438340928253444,2,1.125
traders,9,0.5228642680742301,2,1.2857142857142858
crypto industry,9,-0.3333526832578425,2,1.125
’ s price action,9,,1,1.0
crypto briefing,9,,1,1.0
florida,9,0.3305400267522185,2,1.2857142857142858
xrp price,8,0.654496194704406,4,1.6
cathie wood,8,0.6761317272891185,5,2.6666666666666665
“ company ”,8,0.29547490041648816,2,1.1428571428571428
recent weeks,8,-0.33662075370131556,2,1.1428571428571428
major cryptocurrencies,8,-0.3747846920595013,2,1.1428571428571428
new post,8,-0.31430384189446664,2,1.1428571428571428
wsj,8,0.164832457872883,2,1.3333333333333333
berkshire hathaway,8,0.5072586716722147,3,1.6
eric trump,8,0.48220249512138447,3,1.6
price target,8,0.1437730260880165,2,1.1428571428571428
don ’ t,8,-0.40205633849796235,2,1.1428571428571428
points,8,-0.29442272145095244,2,1.1428571428571428
chair jerome powell,8,-0.09775692117444836,2,1.6
vaultro,8,-0.4625969330166513,4,2.6666666666666665
us state,8,0.15114789842941986,4,1.6
analyst,8,-0.6494113403456655,2,1.1428571428571428
hayes,8,0.23541938653613123,2,1.3333333333333333
dutch,8,0.46281732196488934,3,1.6
korean,8,0.5424710860063278,3,1.6
free,8,-0.01097324195673284,3,1.6
loltron,8,,2,2.0
python,8,0.36017918259391546,3,1.3333333333333333
security solution,8,,1,1.0
mastercard,8,0.38303435043072287,4,2.6666666666666665
ai-powered,8,0.7410321960156302,2,1.3333333333333333
pseudonymous,8,,1,1.0
whales,8,-0.6612305311191732,2,1.3333333333333333
trade tensions,8,0.5041979779944439,2,1.3333333333333333
ahead,8,,1,1.0
premier cryptocurrency,8,-0.1736755621646702,2,1.3333333333333333
online attacks,8,,1,1.0
level,8,,1,1.0
know,8,0.6450395515940844,2,1.3333333333333333
ibit,8,0.288833689653943,3,1.3333333333333333
crypto adoption,8,-0.6308379876152638,2,1.3333333333333333
bitcoin etf,8,,1,1.0
security service,8,,1,1.0
bulls,8,0.12122106354274571,2,1.3333333333333333
cryptocurrency price market cap,8,-0.5538158285840585,2,1.3333333333333333
shares,8,0.42836757955146315,2,1.3333333333333333
franklin templeton,7,0.38547334496639035,3,2.3333333333333335
howard lutnick,7,0.22177459412205147,4,2.3333333333333335
bybit,7,0.2103286387209899,3,1.75
spittin ’ divine venom,7,-0.723628296911504,3,1.75
all-time highs,7,0.5829759168242578,2,1.4
co-founder,7,0.2695174877280515,2,1.4
us treasury,7,-0.5329204296940739,2,1.4
japan,7,-0.47421679235230746,3,1.4
need,7,-0.24488323356578123,3,1.4
tiktok,7,0.7172572464554158,3,1.75
crypto firm,7,0.2953633466564835,3,1.4
polymarket,7,0.3630548626636597,3,1.75
argentina,7,-0.8547472387951989,5,2.3333333333333335
bonuses,7,-0.9525714240626776,4,2.3333333333333335
chart,7,0.5356197560606726,2,1.75
cleanspark,7,0.11115994298403038,3,1.75
ransomware attacks,7,-0.5928956021834935,4,2.3333333333333335
irs,7,0.9930253505110792,2,1.75
easter,7,-0.7151946721640671,4,1.75
new round,7,-0.12286226343109288,2,1.75
paul atkins,7,0.9049166728996275,3,1.75
jack dorsey,7,-0.9729891696118044,2,1.75
oracle,7,0.27928245295945325,4,2.3333333333333335
bull market,7,-0.036414873773149455,2,1.4
chartered,7,0.6656062180111495,4,2.3333333333333335
welcome bonus,7,0.3146964139670685,2,1.4
abu dhabi,7,0.2547906450473225,4,2.3333333333333335
’ re slammin ’,7,-0.9651475132104901,3,2.3333333333333335
asset manager,7,0.3695754828001831,2,1.1666666666666667
quarter,7,-0.9951497159759222,3,1.4
llc,7,0.13131987838706255,2,1.1666666666666667
year —,7,0.3300289278034375,2,1.1666666666666667
chicago,7,-0.6191643697316074,2,1.1666666666666667
technical indicators,7,,1,1.0
’ s tariffs,7,-0.08075342137369991,2,1.1666666666666667
wave,7,-0.10137651250843989,2,1.1666666666666667
sign,7,-0.4508551209060517,2,1.1666666666666667
lead,7,0.2362673237746663,2,1.4
’ s meme coin,7,0.48223696465659865,2,1.1666666666666667
usa,7,-0.2717061356125074,2,1.1666666666666667
price level,7,0.528057440378797,2,1.1666666666666667
bullish,7,0.3791076753127969,2,1.1666666666666667
source,7,-0.16154982625312983,2,1.1666666666666667
crypto markets,7,0.532911658957478,2,1.1666666666666667
target,7,,1,1.0
ali martinez,7,,1,1.0
world 's,7,-0.025510130404557282,2,1.4
artificial intelligence,7,-0.6703299872362626,2,1.1666666666666667
robert kiyosaki,7,-0.736509944557717,4,2.3333333333333335
corporate holder,7,0.28356372810009955,2,1.1666666666666667
yahoo,7,0.13131987838706255,2,1.1666666666666667
stripe,6,0.18173751568473018,2,1.5
snb,6,-0.9360761654736937,3,2.0
treasuries,6,0.02725409744565942,2,1.5
cointelegraph,6,,1,1.0
worth,6,,1,1.0
uae,6,,1,1.0
looking,6,,1,1.0
retail investors,6,-0.5198698636477532,2,1.5
institutional,6,-0.710017151252281,2,1.5
second-largest cryptocurrency,6,,1,1.0
earnings,6,-0.3561637926158848,3,1.5
threat actors,6,,1,1.0
lomond,6,,2,2.0
investor sentiment,6,,1,1.0
details,6,-0.06661801153287895,2,1.5
meme coins,6,0.2011683441571747,2,1.5
breakout,6,,1,1.0
kingdom,6,,1,1.0
riot platforms,6,0.703338566160632,2,1.5
task force,6,-0.031307478772669775,2,1.5
canary capital,6,,1,1.0
paris,6,0.4334535614995717,3,1.5
never,6,-0.5325321233293215,2,1.5
call,6,,1,1.0
movement,6,0.7621160459236589,3,2.0
bessent,6,-0.12489518149651756,2,1.5
morgan stanley,6,0.0408893044625965,2,1.5
android,6,0.4440867942203335,4,2.0
nasdaq-listed,6,0.5651767190789733,2,1.5
afternoon researchbuzz,6,,1,1.0
sql,6,,1,1.0
crypto sector,6,-0.7363450870288575,3,1.5
broader crypto market,6,,1,1.0
certain word,6,,1,1.0
select,6,,1,1.0
carolina,6,-0.06455764180644162,2,1.5
lutnick,6,-0.848788189340427,3,2.0
loss,6,0.40477923026275203,3,1.5
outlook,6,,1,1.0
week ’ s,6,,1,1.0
zhao,6,0.57650681742859,3,1.5
move,6,-0.6338417459645566,2,1.2
antisensitive banger,6,-0.45054750760719825,4,2.0
securityaffairs,6,,2,2.0
kalshi,6,-0.6320465754920543,4,2.0
bitget,6,-0.9992574259929532,2,1.2
disney,6,0.9833653798044845,4,2.0
everyone,6,0.30031251056726493,2,1.2
social media,6,0.3588371446945125,2,1.2
key levels,6,-0.7514127782942936,3,2.0
record,6,-0.33598933670713044,2,1.2
shock,6,0.39263507548242427,2,1.2
ipo,6,-0.9999476161962607,4,2.0
bitcoin breaks,6,0.3440822511378921,2,1.2
hbar,6,-0.36775630806371573,3,2.0
short squeeze,6,0.93741807762086,3,2.0
republican,6,-0.9760722829457334,2,1.2
stablecoin,6,-0.9771396035769969,2,1.2
country ’ s,6,-0.6377274274115317,2,1.2
wow,6,0.2989142003847109,2,1.2
article,6,0.35307952733194053,2,1.2
safe haven,6,-0.30653054878497366,2,1.2
texas,6,0.46278214401004103,2,1.2
letitia james,6,,2,2.0
bitcoin miners,6,-0.7053706134896498,2,1.5
data breach,6,,2,2.0
win,6,0.074612403865547,2,1.5
puerto rico,6,-0.7009041054765383,3,2.0
analyst says,6,0.6208946830514467,2,1.2
interest rates,6,0.46417850953648565,2,1.2
arab emirates,6,0.20253840398459388,2,1.2
janover,6,-0.14580085009317098,2,1.5
chief executive,6,0.5210884675566424,2,1.2
short-term holders,6,0.920681201243962,3,2.0
strike,6,0.8713531940008784,3,2.0
alphabet,6,-0.736846938249585,2,1.2
short term,5,0.1982252051900219,2,1.25
discover,5,-0.7577475848072952,2,1.25
buying bitcoin,5,-0.9613882952165674,3,1.6666666666666667
crypto payments,5,0.4570416239168819,2,1.25
uncertainty,5,-0.5434614991987503,3,1.6666666666666667
flagship crypto,5,-0.05597626807063161,2,1.25
lows,5,-0.5976249388921968,2,1.25
means,5,0.9981573846214399,2,1.25
crypto regulations,5,-0.25575766168768754,2,1.25
street journal,5,-0.30020816976631165,2,1.25
’ s stock,5,0.3011758676409637,2,1.25
dca,5,-0.06323742104763697,3,1.6666666666666667
passive income,5,-0.5495362513362161,2,1.6666666666666667
canadian election,5,-0.9660609986174749,2,1.6666666666666667
token distribution,5,-0.36703896118642515,2,1.6666666666666667
us $,5,-0.6186152608171688,2,1.6666666666666667
imf,5,0.16004328039656174,2,1.6666666666666667
talks,5,0.6391466262955452,3,1.6666666666666667
sec approval,5,0.49520195839828246,2,1.25
depression,5,-0.08114103719758496,2,1.25
backtest framework,5,-0.06323742104763697,3,1.6666666666666667
hackers,5,-0.9110166017561229,2,1.25
cowen,5,-0.49655043193196047,3,1.6666666666666667
new malware,5,0.9798679519924226,2,1.6666666666666667
vix,5,-0.9992262618050822,2,1.6666666666666667
dxy,5,-0.7240584823130859,2,1.25
support,5,0.512264762414958,2,1.25
ireland,5,0.9887042315253983,2,1.6666666666666667
@ saylor,5,0.948427524577821,2,1.25
fintech,5,0.11319835449209738,2,1.25
market dynamics,5,-0.33371133509024603,2,1.25
nike,5,0.32015125880089484,2,1.6666666666666667
cynthia lummis,5,-0.3052100647056207,2,1.6666666666666667
bitwise cio matt hougan,5,-0.9999980589893104,2,1.6666666666666667
toronto,5,0.5903734890010441,3,1.6666666666666667
market capitalization,5,-0.47328814173225503,2,1.25
scotland,5,-0.35633819173648035,2,1.6666666666666667
financial regulator,5,0.5225893944307708,2,1.25
long-term holders,5,0.7124665901275299,2,1.25
santiment,5,0.3513767529674889,2,1.6666666666666667
value,5,0.5552931233729526,3,1.6666666666666667
bitcoin dollar-cost averaging,5,-0.06323742104763697,3,1.6666666666666667
’ re roarin ’,5,0.14825855272534913,2,1.25
benjamin cowen,5,-0.49655043193196047,3,1.6666666666666667
scattered spider,5,-0.9982141052716733,2,1.6666666666666667
spain,5,0.014757948747443924,2,1.25
chaos,5,-0.7274741547578524,3,1.6666666666666667
crypto policy,5,0.6732144025116656,2,1.6666666666666667
blockchain networks,5,,1,1.0
dead,5,-0.950261412412859,2,1.25
ltc,5,0.9823440428357374,2,1.6666666666666667
crypto prices,5,,1,1.0
xpl presale,5,,1,1.0
net outflows,5,-0.6940784707959828,2,1.25
btc etfs,5,,1,1.0
trump crypto,5,0.2934734092347796,2,1.25
recession,5,,1,1.0
worth $,5,-0.46966514530436854,2,1.25
ark invest,5,-0.3053593338331953,3,1.6666666666666667
key $,5,,1,1.0
left,5,0.5523472435440628,2,1.6666666666666667
charles hoskinson,5,,1,1.0
zachxbt,5,0.5508414708456182,2,1.6666666666666667
trend reversal,5,0.556487809207701,2,1.25
live,5,,1,1.0
holding,5,,1,1.0
inflows,5,-0.25550514328348095,2,1.25
us trade,5,0.4536047540688928,2,1.25
opinion,5,,1,1.0
ideas,5,-0.388865911710255,2,1.25
owns,5,0.1583465903768629,2,1.25
net inflows,5,,1,1.0
tech stocks,5,-0.9976580702236695,2,1.25
year ’ s,5,-0.5552077973718269,2,1.6666666666666667
crypto investors,5,,1,1.0
learn,5,0.3956381153753915,2,1.25
chainlink,5,0.44521079039257966,2,1.25
based,5,0.18451223512175088,2,1.25
bitcoin rises,5,0.3636342982838425,2,1.25
keys,5,-0.4404092668697099,2,1.25
whale,5,-0.3128415981766709,2,1.25
happens,5,,1,1.0
prices,5,,1,1.0
avax key,5,,1,1.0
weekday afternoons,5,,1,1.0
resistance level,5,,1,1.0
new report,5,,1,1.0
new heights,5,-0.4527049759568697,2,1.25
ath,5,-0.2779038172272659,2,1.25
new highs,5,,1,1.0
risk assets,5,,1,1.0
bitcoi…,5,,1,1.0
comments url,5,,1,1.0
hours –,5,0.9974620082668884,2,1.25
gdp,5,0.2749237530525343,2,1.25
the…,5,,1,1.0
grayscale,5,,1,1.0
wld,5,-0.3906355844540135,3,1.6666666666666667
’ s newsletter,5,,1,1.0
potential breakout,5,,1,1.0
new data,5,-0.9691104545107523,2,1.25
javascript,5,,1,1.0
demand,5,-0.9969603098151816,2,1.25
musk,5,,1,1.0
tight range,5,,1,1.0
cryptocurrency industry,5,0.5987567546543974,2,1.25
comments,5,,1,1.0
crypto wallets,5,-0.9999995238259703,2,1.6666666666666667
institutional investors,5,0.5251355558750009,2,1.25
bitc…,5,,1,1.0
top cryptocurrency,5,-0.40062181009796977,2,1.25
wall street,5,0.11836015817421283,2,1.25
pairminer,5,-0.9898808616353066,2,1.25
launch,5,0.6287328354522487,2,1.25
bitmex,5,-0.3473231447262051,2,1.25
tokenization,5,0.49255008817868845,2,1.25
intelligence,5,0.536542277821216,2,1.25
benefit,5,0.31979119576101706,2,1.25
months,5,,1,1.0
risk,5,,1,1.0
technical,4,0.07341230125411835,2,1.3333333333333333
real estate,4,0.3706459348333723,2,1.3333333333333333
hasn ’ t,4,-0.7308070142086733,2,1.3333333333333333
scammers,4,-0.9987156176391961,2,1.3333333333333333
economy,4,0.9999601044385344,2,1.3333333333333333
technology group,4,0.5566944559867161,2,1.3333333333333333
ridin ’,4,-0.997388015976207,2,1.3333333333333333
citing,4,0.9265874692088738,2,1.3333333333333333
plans,4,0.4315624159969418,2,1.3333333333333333
chainalysis,4,-0.2969145311321908,2,1.3333333333333333
cases,4,-0.8336585158036929,2,1.3333333333333333
’ re hittin ’,4,-0.7092182101171395,2,1.3333333333333333
balance sheet,4,0.45517783658916644,2,1.3333333333333333
silk,4,-0.5502743418302716,2,1.3333333333333333
top holders,4,-0.9991119618675093,2,1.3333333333333333
strong momentum,4,0.8847832535789759,2,1.3333333333333333
storm,4,0.5761136450897536,2,1.3333333333333333
paxg,4,-0.9817582892004953,2,1.3333333333333333
saudi arabia,4,0.4458691675935416,2,1.3333333333333333
buying,4,-0.5666401888740378,2,1.3333333333333333
dot,4,0.867911151635025,2,1.3333333333333333
credit facility,4,0.04243158041469898,2,1.3333333333333333
dogecoin price,4,-0.9998833291974103,2,1.3333333333333333
president ’ s,4,0.038685072095263236,2,1.3333333333333333
near,4,0.6101912689389515,2,1.3333333333333333
stock exchange,4,-0.5758883663688101,2,1.3333333333333333
company ’ s,4,0.2525604441999658,2,1.3333333333333333
oklahoma,4,-0.7958900913242821,2,1.3333333333333333
apple store,4,0.9998856032949023,2,1.3333333333333333
price surge,4,-0.9966376131522892,2,1.3333333333333333
infrastructure,4,-0.7583499175214196,2,1.3333333333333333
— president,4,0.5552077973718269,2,1.3333333333333333
anthony pompliano,4,-0.9959977596760703,2,1.3333333333333333
index,4,-0.6791003724991566,2,1.3333333333333333
lightning network,4,0.32396899716908817,2,1.3333333333333333
market turbulence,4,0.5754624984044028,2,1.3333333333333333
fortune,4,0.6044187430708026,2,1.3333333333333333
prime,4,0.7993726703508173,2,1.3333333333333333
xrp etfs,4,0.8636601699601615,2,1.3333333333333333
whether,4,0.4640991304432215,2,1.3333333333333333
profit,4,-0.5757888015190876,2,1.3333333333333333
australian,4,0.6060602540931387,2,1.3333333333333333
yoy,4,-0.9926104568090783,2,1.3333333333333333
financial services company,4,0.9973585930629395,2,1.3333333333333333
wlfi,4,0.5092308983129133,2,1.3333333333333333
forget,4,-0.8245632277183701,2,1.3333333333333333
private keys,4,0.5306872910700285,2,1.3333333333333333
crypto exchanges,4,-0.442266036849008,2,1.3333333333333333
bullish outlook,4,-0.45596187104879304,2,1.3333333333333333
traditional markets,4,0.4131208308195991,2,1.3333333333333333
spar,4,-0.3895507543099424,2,1.3333333333333333
inflation,4,0.8874084831265657,2,1.3333333333333333
crypto regulation,4,0.9993499094729026,2,1.3333333333333333
fold,4,0.5733418620964783,2,1.3333333333333333
sources,4,-0.9999364563010944,2,1.3333333333333333
fold holdings,4,0.8383104184536496,2,1.3333333333333333
odds,4,-0.9996863073034598,2,1.3333333333333333
public funds,4,-0.43363489499451396,2,1.3333333333333333
ponzi,4,0.3607752511431689,2,1.3333333333333333
focus,4,0.9620813259993352,2,1.3333333333333333
pectra,4,0.8688887720835156,2,1.3333333333333333
commerce secretary,4,-0.9924681517457536,2,1.3333333333333333
market volatility,4,-0.6815034099856422,2,1.3333333333333333
poised,4,0.46465070089563004,2,1.3333333333333333
market uncertainty,4,-0.4970602148283954,2,1.3333333333333333
windows,4,0.5733665493152935,2,1.3333333333333333
hedera,4,0.41846858047031493,2,1.3333333333333333
bo hines,4,0.999401517564143,2,1.3333333333333333
bloomberg intelligence,4,0.555874676489631,2,1.3333333333333333
crypto world,4,0.790551239460059,2,1.3333333333333333
soars,4,0.9997831523208227,2,1.3333333333333333
cryptocurrency space,4,0.41700677116321666,2,1.3333333333333333
bonds,4,0.41306864352316974,2,1.3333333333333333
list,4,-0.707306753275318,2,1.3333333333333333
bonk,4,-0.494291910208256,2,1.3333333333333333
bonus,4,0.3739688279809058,2,1.3333333333333333
liberty,4,-0.9107258563491847,2,1.3333333333333333
momentum,4,0.9989034130503543,2,1.3333333333333333
cryptocurrency investors,4,-0.9993588015928208,2,1.3333333333333333
initial public offering,4,0.9529832383346438,2,1.3333333333333333
meta,4,0.6586264929985743,2,1.3333333333333333
