sasdate,RPI,W875RX1,DPCERA3M086SBEA,CMRMTSPLx,RETAILx,INDPRO,IPFPNSS,IPFINAL,IPCONGD,IPDCONGD,IPNCONGD,IPBUSEQ,IPMAT,IPDMAT,IPNMAT,IPMANSICS,IPB51222S,IPFUELS,CUMFNS
6/1/1960,2721.855,2557.0,15.998,279357.6743,18991.83825,23.2301,24.9963,23.8948,33.8714,20.9863,40.3379,8.9436,20.893,12.315,33.2663,22.013,22.0852,34.5867,80.2236
7/1/1960,2726.734,2561.9,16.031,277446.1706,18801.0072,23.1495,24.8528,23.757,33.5613,20.1877,40.4291,8.836,20.9174,12.3877,32.9906,21.9619,22.3019,35.4524,79.7275
8/1/1960,2722.383,2555.4,16.016,277095.3541,18865.30897,23.1226,24.7954,23.757,33.6389,20.4123,40.4291,8.7186,20.8198,12.315,32.8172,21.8597,22.3832,35.1769,79.0505
9/1/1960,2725.93,2556.1,16.092,281589.7872,18847.67784,22.8806,24.5945,23.6192,33.4838,20.1628,40.2923,8.6403,20.4781,12.1551,32.5857,21.6299,22.5729,35.177,77.9187
10/1/1960,2733.981,2564.1,16.17,276281.2293,19013.61788,22.8537,24.738,23.7295,33.8326,20.3874,40.7026,8.5718,20.4049,12.0097,32.3891,21.6044,22.6,35.3737,77.5287
11/1/1960,2722.236,2549.4,16.114,273580.9078,18741.89106,22.5311,24.4797,23.4539,33.2125,19.7136,40.2923,8.5522,19.8679,11.5008,32.0499,21.1958,22.6813,34.8228,75.7724
12/1/1960,2709.794,2534.5,15.916,275729.4584,18604.99052,22.1009,24.1353,23.1507,32.98,19.0398,40.2467,8.3565,19.3309,10.9629,31.9612,20.8382,22.7626,35.0589,74.2557
1/1/1961,2734.05,2556.6,15.956,265935.1877,18619.51027,22.1278,24.1066,23.0956,32.7087,18.3411,40.3835,8.4152,19.5018,11.0937,32.089,20.8638,23.0065,35.3737,74.1095
2/1/1961,2744.703,2556.8,16.014,269205.1952,18553.13426,22.1009,24.1353,23.0956,32.9025,18.2413,40.657,8.3369,19.3553,10.9192,32.2375,20.7616,23.0065,36.8296,73.512
3/1/1961,2755.967,2569.4,16.213,275625.1907,18749.15093,22.2353,24.2501,23.1231,32.9025,18.2413,40.657,8.3272,19.5262,10.9338,32.8773,20.9149,22.7084,34.9408,73.8637
4/1/1961,2761.873,2578.3,16.221,267710.2492,18417.27084,22.6924,24.6232,23.509,33.6776,19.5639,41.0216,8.4152,20.112,11.4427,33.3089,21.4001,23.142,34.9802,75.3829
5/1/1961,2783.267,2593.7,16.32,275423.8024,18694.18329,23.0419,24.7954,23.7019,34.0651,20.1877,41.2951,8.425,20.7222,11.9806,33.7775,21.7321,23.7653,35.2163,76.356
6/1/1961,2809.575,2614.5,16.359,280409.8864,18833.15808,23.3646,25.0537,23.9224,34.4527,20.8615,41.4774,8.4935,21.0395,12.2714,34.1144,22.064,23.413,34.1539,77.3241
7/1/1961,2817.586,2620.7,16.31,274849.8655,18818.63833,23.6334,25.2545,24.0877,34.7627,21.2358,41.6597,8.5424,21.3323,12.5767,34.3024,22.3449,23.3317,36.6721,78.1087
8/1/1961,2819.181,2631.9,16.368,284726.8653,19026.06339,23.8485,25.4267,24.2531,34.9952,21.2857,42.0244,8.5816,21.7473,12.8385,34.953,22.6514,23.8736,36.0819,78.9783
9/1/1961,2822.627,2637.0,16.46,286404.2647,19059.2514,23.8217,25.3693,24.1429,34.4139,20.0879,41.7965,8.7088,21.7961,13.0129,34.8293,22.4726,24.0092,34.7441,78.1562
10/1/1961,2850.442,2665.2,16.563,285916.4158,19402.53987,24.2787,25.7998,24.6114,35.3441,21.2108,42.5258,8.699,22.1866,13.0856,35.7752,22.9323,24.2801,36.3967,79.5528
11/1/1961,2875.937,2689.7,16.724,290492.0293,19539.4404,24.6551,26.2303,25.1075,35.9641,22.1591,42.9359,8.9338,22.4795,13.3474,36.3253,23.3409,24.1988,36.8295,80.7658
12/1/1961,2893.211,2704.5,16.84,290719.3806,19546.70028,24.8702,26.4025,25.2728,36.0416,22.5584,42.9359,8.9632,22.7968,13.5654,36.8527,23.6473,24.3614,36.3967,81.6041
1/1/1962,2890.321,2700.8,16.845,292962.8571,19714.71458,24.6551,26.1729,25.135,35.7703,22.0593,42.7536,8.9338,22.626,13.5509,35.843,23.3153,24.7137,36.8296,80.2408
2/1/1962,2902.573,2713.9,16.837,291710.9603,19716.78883,25.0584,26.5173,25.3831,36.0028,22.184,43.0271,9.061,22.9921,13.7108,36.9164,23.7239,24.6595,37.105,81.4267
3/1/1962,2922.539,2731.9,16.976,294971.9176,20048.66892,25.1929,26.7181,25.6311,36.2742,22.5084,43.3006,9.1785,23.0165,13.7399,36.9548,23.9282,24.8763,37.0263,81.8912
4/1/1962,2937.504,2749.0,17.035,292816.1638,20157.56707,25.2466,26.9191,25.8791,36.5842,23.0325,43.3461,9.2372,22.9921,13.7254,36.9126,23.9538,24.8763,37.3411,81.7429
5/1/1962,2941.678,2752.9,17.166,295631.7077,20294.46761,25.2197,27.0626,25.9894,36.7779,23.2321,43.6196,9.2372,22.6748,13.4491,36.9976,23.9027,25.1744,37.4198,81.3349
6/1/1962,2945.739,2756.3,17.08,293308.8034,20034.14917,25.166,27.0912,25.9619,36.5454,22.8079,43.4829,9.3253,22.6016,13.3037,37.2072,23.8516,25.6079,37.4591,80.9291
7/1/1962,2960.008,2769.4,17.135,291713.9599,20351.5095,25.4079,27.3495,26.2926,37.1655,23.307,44.0299,9.4035,22.7968,13.4491,37.2623,24.0815,25.9873,37.5378,81.476
8/1/1962,2964.773,2772.5,17.183,298514.3889,20478.03879,25.4348,27.3495,26.2374,36.7392,22.9826,43.6197,9.5014,22.8456,13.5364,37.2773,24.1325,25.9602,36.2,81.4168
9/1/1962,2966.166,2775.8,17.375,293815.9271,20539.22918,25.5962,27.5217,26.3477,36.9717,23.282,43.8931,9.4916,23.0409,13.6527,37.5187,24.3113,25.8789,37.3411,81.7875
10/1/1962,2981.84,2785.0,17.289,299684.9733,20861.77514,25.6231,27.4356,26.3753,36.8942,23.3818,43.7108,9.5307,23.0409,13.6963,37.2702,24.2602,25.8789,37.3804,81.3851
11/1/1962,2992.828,2798.3,17.519,302931.2343,20970.6733,25.7306,27.6078,26.4855,37.1267,23.4068,43.8931,9.5307,23.2362,13.7981,37.7269,24.4645,26.2312,37.6952,81.8392
12/1/1962,3006.868,2813.0,17.617,294607.6416,20966.5248,25.7306,27.6365,26.5682,37.2818,23.5815,44.121,9.472,23.1141,13.7254,37.4732,24.49,26.2041,38.2461,81.6791
1/1/1963,3025.392,2806.3,17.612,298556.2101,21054.68045,25.9188,27.9235,26.954,37.7468,23.831,44.7135,9.4329,23.2117,13.7835,37.3224,24.6433,26.9629,39.1117,81.9446
2/1/1963,3009.442,2813.7,17.546,302376.7496,20896.00028,26.2146,28.1531,27.1745,38.1731,24.0805,45.2149,9.5699,23.5535,13.9435,38.1393,24.8476,27.4235,40.0561,82.3778
3/1/1963,3023.049,2826.3,17.635,299697.17,21062.97745,26.3759,28.1531,27.2021,38.3281,24.1305,45.4428,9.5112,23.8952,14.118,38.7493,25.0008,27.0441,40.0561,82.6243
4/1/1963,3031.344,2834.3,17.699,306313.3271,21154.24448,26.6179,28.4688,27.3398,38.4831,24.3301,45.5796,9.5992,24.1148,14.4233,38.6454,25.3328,26.6919,38.1674,83.4581
5/1/1963,3044.315,2846.3,17.71,308216.2405,21020.45531,26.9405,28.5835,27.3399,38.5606,24.7293,45.4428,9.5699,24.6762,14.874,39.2294,25.5626,27.1254,38.8756,83.9513
6/1/1963,3058.664,2861.0,17.881,304332.5361,21177.06123,27.0212,28.6409,27.4501,38.7932,25.1536,45.4884,9.609,24.7739,14.9031,39.5181,25.6392,27.2338,39.1904,83.9398
7/1/1963,3060.387,2862.7,17.973,312852.1672,21422.85992,26.9136,28.6409,27.4501,38.6769,25.1286,45.3061,9.746,24.5298,14.6559,39.1903,25.5371,26.6106,38.6789,83.3448
8/1/1963,3071.095,2872.9,18.037,310735.2354,21395.89467,26.9674,28.8992,27.7533,38.987,25.1785,45.8075,9.9809,24.3101,14.2633,40.0285,25.6648,26.719,39.3478,83.5014
9/1/1963,3091.894,2893.0,18.003,307838.1396,21343.00128,27.2362,28.9853,27.836,39.1032,25.6277,45.6708,9.9515,24.7982,14.7286,40.3944,25.8435,27.0171,39.702,83.8227
10/1/1963,3109.05,2908.9,17.993,316321.4105,21714.29213,27.4245,29.2436,28.0289,39.3745,25.6526,46.0354,10.1276,24.9447,14.874,40.476,26.0734,27.0984,39.82,84.3071
11/1/1963,3115.477,2915.8,18.127,310220.9633,21469.53056,27.5589,29.3584,28.084,39.4132,25.9022,45.9898,10.2059,25.0911,14.9612,40.8198,26.15,27.5048,39.7413,84.2946
12/1/1963,3140.08,2936.6,18.343,312600.204,21941.42257,27.5051,29.3871,28.1942,39.6458,25.977,46.4,10.1863,24.9447,14.9176,40.2338,26.15,27.7758,39.5052,84.0095
1/1/1964,3151.381,2936.3,18.402,320161.8596,21827.33879,27.7471,29.6741,28.4974,40.0333,26.0269,46.8558,10.4505,25.14,14.9467,40.9291,26.3798,28.3991,39.7413,84.4621
2/1/1964,3164.424,2962.7,18.532,320855.9886,21927.93994,27.9353,29.6741,28.3872,39.9558,26.1767,46.6735,10.4016,25.5305,15.2084,41.5379,26.533,28.101,39.9381,84.6673
3/1/1964,3180.427,2977.8,18.597,311733.8284,22086.62011,27.9353,29.6741,28.332,39.762,25.9771,46.5367,10.5288,25.5305,15.223,41.3273,26.533,28.372,39.8987,84.3575
4/1/1964,3199.779,2996.0,18.63,319416.6331,22269.15416,28.3924,30.2768,28.9659,40.7696,26.6758,47.6306,10.7735,25.8234,15.412,42.2125,27.0182,28.9681,40.2528,85.5869
5/1/1964,3218.991,3014.9,18.888,322572.6219,22569.92049,28.5537,30.3628,29.1037,41.0797,26.8255,48.0864,10.8909,26.043,15.6155,42.2763,27.1204,29.1578,40.725,85.5983
6/1/1964,3230.324,3026.6,18.996,322160.9824,22587.55162,28.6344,30.3628,29.0762,41.0022,27.1,47.7674,10.93,26.2139,15.7028,42.8644,27.1714,29.6727,40.3315,85.449
7/1/1964,3247.888,3043.0,19.136,328664.585,22699.56115,28.8226,30.6785,29.4069,41.5835,27.5491,48.4055,11.0768,26.2627,15.7318,42.8652,27.4013,29.8624,40.4889,85.861
8/1/1964,3266.271,3061.5,19.251,322111.6541,23018.99574,29.0108,30.6498,29.3793,41.506,27.7488,48.0864,11.067,26.7997,16.1971,43.3621,27.58,29.9437,39.938,86.1105
9/1/1964,3279.764,3074.4,19.171,330984.248,23235.75493,29.1183,30.5064,29.2691,41.041,27.1,47.813,11.1649,27.2146,16.5315,43.8843,27.7077,29.9437,39.82,86.1994
10/1/1964,3281.585,3076.4,19.296,326426.5417,22337.60443,28.715,30.1907,28.8832,40.2271,24.2802,48.4511,11.0768,26.702,15.8918,43.9257,27.2991,30.1605,40.0954,84.6252
11/1/1964,3303.656,3099.1,19.121,323261.0705,22547.10374,29.6023,31.0803,29.8203,41.7385,27.599,48.5878,11.4486,27.5319,16.7787,44.0878,28.1163,29.9166,39.8987,86.8484
12/1/1964,3336.322,3128.9,19.306,338442.5873,23595.6374,29.9518,31.4821,30.3439,42.5911,29.221,48.8613,11.6541,27.8736,17.0404,44.6368,28.627,30.2147,40.1348,88.0025
1/1/1965,3357.223,3134.5,19.443,334956.7751,23768.83732,30.2744,31.8265,30.6747,43.2112,29.7201,49.545,11.6345,28.1909,17.2585,45.3313,28.959,30.2418,40.2921,88.5986
2/1/1965,3359.115,3151.6,19.753,336120.7516,23919.22049,30.4627,32.0847,30.8676,43.3275,30.1194,49.4538,11.8303,28.2886,17.3312,45.301,29.1378,30.296,40.4495,88.7226
3/1/1965,3375.375,3167.2,19.814,342067.3194,23681.7188,30.866,32.4578,31.2534,43.715,30.9429,49.4994,11.9868,28.7279,17.7528,45.2986,29.4953,30.6482,40.3708,89.2769
4/1/1965,3389.254,3178.8,19.955,347361.7309,23880.84685,31.0004,32.4578,31.3086,43.5987,30.893,49.3627,12.0945,29.0208,17.9128,46.2484,29.6741,31.5154,40.2528,89.2868
5/1/1965,3407.894,3199.2,19.936,341580.8336,24251.10058,31.2424,32.8022,31.6393,43.87,31.1176,49.6361,12.2706,29.1428,18.0,46.5202,29.9039,30.9734,40.0561,89.4494
6/1/1965,3417.802,3208.7,19.77,345061.1002,24105.90304,31.4844,32.9744,31.8598,43.9863,31.392,49.6818,12.4467,29.4845,18.2472,47.0566,30.0827,30.9734,40.3708,89.4582
7/1/1965,3440.831,3230.4,20.018,351339.2676,24498.97352,31.7801,33.2327,32.0527,43.9863,31.6166,49.545,12.662,29.753,18.4653,47.4499,30.5423,30.594,41.0004,90.2974
8/1/1965,3455.192,3247.6,20.165,346342.1805,24576.75792,31.9145,33.2614,32.0802,43.9475,31.2922,49.6818,12.662,30.0459,18.6979,47.7768,30.5679,30.7837,41.1185,89.8508
9/1/1965,3539.729,3268.7,20.502,348877.7902,24642.09681,31.9952,33.5771,32.5212,44.6064,31.8662,50.3199,12.9066,29.8018,18.5671,47.6079,30.6445,31.8135,40.4495,89.5586
10/1/1965,3524.562,3305.3,20.789,354232.0366,25277.85462,32.3179,33.9214,32.7968,44.8389,32.1656,50.4566,13.0925,30.1191,18.5962,48.2739,30.8999,32.4367,40.8037,89.7893
11/1/1965,3550.773,3328.6,20.78,360404.8061,25582.76945,32.4523,34.2371,33.1,45.0714,32.3902,50.7756,13.3372,29.9971,18.4362,48.3718,31.0276,31.7864,41.748,89.6483
12/1/1965,3569.718,3346.5,20.823,363489.1958,25674.03647,32.8556,34.6676,33.4583,45.3427,33.064,50.7301,13.6209,30.3388,18.6543,48.9217,31.5127,31.8948,41.8267,90.5141
1/1/1966,3578.381,3353.6,20.956,361688.8092,25844.12502,33.1782,34.9546,33.8441,45.5752,33.1638,51.0035,13.8949,30.7537,19.0469,49.121,31.8192,32.1658,42.4956,90.8594
2/1/1966,3596.166,3370.7,21.097,364374.5422,25920.87229,33.3933,35.0694,33.9543,45.6915,33.1138,51.277,13.8558,31.0955,19.3231,49.4551,32.0235,32.7348,41.9054,90.9108
3/1/1966,3615.405,3389.3,21.261,371052.9729,26374.09604,33.8504,35.4425,34.2851,46.0403,33.3634,51.6416,14.1298,31.6568,19.643,50.3111,32.4577,32.6806,42.0234,91.5884
4/1/1966,3612.477,3388.0,21.272,368818.4355,26015.25069,33.9042,35.6146,34.5331,46.1953,33.9872,51.5505,14.2374,31.5836,19.8465,50.1804,32.6364,32.7619,42.2595,91.5416
5/1/1966,3624.307,3399.6,21.074,363859.0051,25568.2497,34.2268,35.8729,34.7536,46.1953,33.4383,51.8695,14.4233,31.9497,19.9629,50.6355,32.8662,33.06,42.6137,91.6379
6/1/1966,3642.069,3419.3,21.13,371447.601,26158.37398,34.3881,36.0738,35.0017,46.3891,33.4383,52.143,14.5603,32.145,20.0792,50.9367,33.0194,33.6562,41.4726,91.5205
7/1/1966,3656.698,3434.6,21.312,364631.6493,26268.30926,34.5763,36.3034,35.1946,46.3115,32.8144,52.4621,14.7952,32.2182,20.0501,51.4915,33.1726,34.0084,42.3776,91.4046
8/1/1966,3675.041,3444.1,21.345,372876.1244,26565.96422,34.6032,36.1886,35.2221,46.1565,32.2904,52.5532,14.8539,32.4866,20.2391,51.658,33.2493,34.2523,43.0072,91.0801
9/1/1966,3697.138,3453.4,21.542,373908.154,26619.89474,34.9259,36.4469,35.4702,46.3116,32.49,52.6899,15.0202,32.804,20.6462,51.6186,33.5046,33.9542,43.1645,91.2464
10/1/1966,3712.521,3468.5,21.448,369336.4678,26505.81095,35.1678,36.7913,35.9387,47.2804,34.1619,53.1002,14.9713,32.9504,20.7916,51.2164,33.8366,34.1439,43.8334,91.618
11/1/1966,3735.585,3482.4,21.493,369162.2136,26515.14508,34.9258,36.7339,35.8285,47.0479,33.1388,53.4192,14.756,32.4623,20.2537,51.2618,33.4791,34.442,42.8104,90.1293
12/1/1966,3734.371,3478.0,21.527,369310.2844,26326.38828,35.0065,36.8487,35.9387,46.9316,32.7895,53.4648,14.9615,32.4622,20.1519,51.6169,33.6323,34.3607,42.5743,90.0246
1/1/1967,3769.197,3508.2,21.629,364393.989,25052.79843,35.1716,37.233,36.1975,47.3572,31.971,54.704,14.8562,32.326,20.118,51.4571,33.7327,35.245,42.8777,89.8425
2/1/1967,3773.752,3507.6,21.549,362995.316,24799.73986,34.7727,37.0003,35.982,46.7202,31.0826,54.2706,14.8745,31.7113,19.5483,50.9075,33.3535,35.4133,42.3587,88.3949
3/1/1967,3796.76,3521.1,21.661,365624.437,25049.68705,34.5767,37.1001,36.0796,46.8702,31.3693,54.3056,14.8496,31.1247,19.111,50.4692,33.1848,35.9817,42.7562,87.5162
