timestamp,sensor_400649_mph,sensor_400715_mph,sensor_400240_mph,sensor_403329_mph,sensor_400436_mph,sensor_400221_mph,sensor_404370_mph,sensor_400268_mph,sensor_401555_mph,sensor_400052_mph,sensor_400461_mph,sensor_400750_mph,sensor_400148_mph,sensor_400336_mph,sensor_400713_mph,sensor_400485_mph,sensor_400822_mph,sensor_400464_mph,sensor_400688_mph
2017-01-01 02:50:00,71.0,67.7,70.3,67.6,68.2,66.2,66.6,67.5,65.1,68.2,67.6,66.4,67.1,67.4,66.7,67.6,67.5,67.3,68.3
2017-01-01 02:55:00,70.9,67.2,69.8,67.5,68.3,67.6,66.3,67.6,68.0,68.1,67.9,66.9,67.7,66.6,67.1,67.5,67.6,67.5,68.2
2017-01-01 03:00:00,71.2,68.0,70.3,66.9,68.4,65.7,66.7,67.5,65.1,68.0,67.6,66.8,67.5,67.8,66.6,68.1,67.5,67.1,68.3
2017-01-01 03:05:00,70.8,67.8,70.1,67.0,68.3,66.0,66.3,67.5,68.0,68.3,67.8,66.6,67.6,67.6,66.0,67.6,67.5,67.5,68.4
2017-01-01 03:10:00,70.5,67.6,70.3,67.4,68.2,65.7,66.1,67.8,68.0,68.1,67.7,66.3,67.5,66.9,67.3,67.7,67.8,67.2,68.1
2017-01-01 03:15:00,71.1,68.4,70.1,66.5,68.3,67.0,66.4,67.4,65.2,68.4,67.7,66.3,67.4,68.2,66.7,68.5,67.4,67.0,68.3
2017-01-01 03:20:00,70.6,68.1,69.7,66.4,68.3,67.0,65.8,67.8,65.2,67.9,67.7,66.9,67.3,67.7,67.1,68.2,67.8,66.1,68.3
2017-01-01 03:25:00,71.7,68.6,69.7,66.8,68.0,65.4,67.0,67.5,65.1,68.0,67.8,66.9,67.2,67.1,67.1,68.3,67.5,66.4,68.2
2017-01-01 03:30:00,71.5,68.3,70.0,66.5,68.3,67.2,65.6,67.5,68.0,67.6,67.7,66.9,67.2,67.2,66.8,68.7,67.5,67.8,68.1
2017-01-01 03:35:00,69.9,67.6,69.9,66.2,68.0,65.8,65.3,67.4,68.0,68.2,67.6,66.4,67.0,67.3,66.1,69.3,67.4,67.3,68.3
2017-01-01 03:40:00,70.7,69.0,69.7,66.6,68.1,67.0,66.1,67.5,68.0,67.1,67.8,67.1,67.1,67.0,67.0,67.0,67.5,66.9,68.0
2017-01-01 03:45:00,71.0,67.1,69.8,66.6,68.0,66.4,65.8,67.5,68.0,67.9,67.8,67.1,67.1,67.6,66.9,68.2,67.5,67.2,68.0
2017-01-01 03:50:00,70.7,68.1,70.4,67.5,68.0,66.5,65.9,67.4,68.0,67.7,67.6,66.1,67.1,67.5,66.8,68.9,67.4,66.8,67.9
2017-01-01 03:55:00,70.8,67.9,70.1,66.6,68.2,67.0,66.7,67.6,68.0,67.8,67.3,66.7,67.4,67.7,66.4,67.1,67.6,66.6,68.0
2017-01-01 04:00:00,71.2,67.9,70.1,67.1,68.3,67.0,65.3,67.6,65.3,67.8,67.6,66.7,67.2,67.2,67.3,67.8,67.6,68.3,67.9
2017-01-01 04:05:00,70.6,68.2,70.3,67.4,68.2,65.0,66.1,67.9,68.2,68.5,67.6,66.7,67.4,67.6,66.8,69.0,67.9,66.8,68.0
2017-01-01 04:10:00,71.0,68.3,69.8,67.1,68.1,66.1,66.3,67.7,68.2,68.2,67.7,66.4,67.4,67.8,66.1,66.5,67.7,66.3,68.2
2017-01-01 04:15:00,71.4,68.7,70.1,65.9,68.2,66.3,66.4,67.8,68.2,67.2,67.5,67.8,67.5,67.6,66.6,67.1,67.8,66.9,68.1
2017-01-01 04:20:00,71.0,67.9,69.9,66.6,68.2,66.8,66.1,67.4,68.2,68.0,67.6,66.6,67.4,68.2,66.3,66.4,67.4,67.3,68.2
2017-01-01 04:25:00,70.8,68.7,69.8,66.8,68.2,66.8,66.9,67.7,68.2,67.3,67.4,67.1,67.5,67.7,67.3,69.4,67.7,67.3,68.1
2017-01-01 04:30:00,70.9,68.1,70.2,66.3,68.1,67.1,66.1,67.6,68.2,67.5,67.9,67.2,67.1,67.1,67.0,66.9,67.6,68.0,68.1
2017-01-01 04:35:00,71.7,68.1,69.7,67.5,68.3,66.9,65.9,67.5,68.2,67.4,67.8,66.2,67.2,67.5,66.4,67.6,67.5,68.0,68.0
2017-01-01 04:40:00,71.2,68.5,70.0,66.0,68.1,67.1,65.8,67.8,68.2,66.9,67.7,66.2,67.2,66.7,66.2,68.5,67.8,68.7,67.9
2017-01-01 04:45:00,71.8,68.5,70.3,67.0,68.1,66.5,66.1,67.8,68.2,68.1,67.7,67.3,67.6,67.1,66.6,68.8,67.8,66.2,68.1
2017-01-01 04:50:00,71.4,67.8,69.9,66.2,68.2,67.1,65.9,67.7,68.2,68.1,67.6,67.7,67.5,66.5,66.9,66.6,67.7,67.1,67.9
2017-01-01 04:55:00,70.6,68.8,69.3,67.0,68.2,67.0,65.6,67.5,68.2,67.6,67.8,66.1,67.6,67.7,67.4,66.9,67.5,67.1,67.8
2017-01-01 05:00:00,71.2,68.1,70.2,67.9,68.2,67.2,66.1,67.7,68.2,68.0,67.6,66.2,67.6,67.4,67.7,67.4,67.7,66.8,68.1
2017-01-01 05:05:00,71.5,67.9,69.9,66.7,68.2,66.3,66.4,67.8,68.2,67.4,67.7,67.3,67.7,67.5,66.7,69.0,67.8,67.3,67.9
2017-01-01 05:10:00,71.9,68.2,70.1,67.5,68.3,67.4,66.3,67.5,68.1,67.3,67.6,66.8,67.7,67.4,67.6,67.4,67.5,67.1,68.0
2017-01-01 05:15:00,71.8,68.3,70.0,66.4,68.3,67.6,66.5,67.6,68.1,68.1,67.7,67.8,67.3,67.4,67.2,68.8,67.6,67.4,67.9
2017-01-01 05:20:00,72.2,68.2,70.5,67.4,68.3,66.8,66.8,67.6,68.1,67.9,67.8,67.2,67.4,67.8,68.5,67.6,67.6,68.3,68.1
2017-01-01 05:25:00,71.6,67.9,70.1,67.7,68.2,66.5,67.1,67.8,68.0,67.9,67.8,66.3,67.7,67.9,67.1,67.3,67.8,68.2,68.2
2017-01-01 05:30:00,71.8,68.1,70.0,66.7,68.4,67.8,66.3,67.7,68.0,68.3,67.8,66.2,67.6,68.1,67.4,66.8,67.7,67.2,68.1
2017-01-01 05:35:00,71.8,68.3,69.9,65.9,68.3,67.4,66.9,67.7,68.0,68.0,67.8,66.3,67.9,68.6,67.5,67.9,67.7,66.2,67.8
2017-01-01 05:40:00,72.2,68.0,69.9,67.0,68.3,67.6,66.5,67.6,65.1,67.6,67.8,66.4,67.3,68.9,67.2,67.0,67.6,66.9,67.9
2017-01-01 05:45:00,72.1,68.3,70.2,67.2,68.3,66.6,66.7,67.7,67.9,68.0,67.8,66.9,67.9,68.8,67.4,67.0,67.7,67.5,67.9
2017-01-01 05:50:00,71.6,68.4,70.2,67.0,68.3,67.1,66.2,67.8,67.9,67.6,67.9,67.2,67.7,68.1,67.6,67.0,67.8,67.3,67.8
2017-01-01 05:55:00,71.4,68.6,69.8,66.6,68.4,67.0,67.1,67.8,67.9,67.6,67.8,66.5,67.5,68.0,67.0,66.4,67.8,67.8,67.9
2017-01-01 06:00:00,71.0,68.5,69.9,67.5,68.2,66.3,66.9,67.6,67.9,67.5,67.8,66.9,67.4,68.2,67.2,66.5,67.6,67.1,68.0
2017-01-01 06:05:00,71.2,68.0,70.0,66.5,68.2,66.8,66.5,67.6,67.9,67.4,67.7,66.5,67.6,68.1,67.2,67.7,67.6,67.7,68.0
2017-01-01 06:10:00,71.3,68.7,70.1,67.2,68.2,66.4,66.7,67.7,68.0,67.5,67.7,66.8,67.7,67.6,68.1,67.9,67.7,67.3,67.9
2017-01-01 06:15:00,71.4,67.7,70.5,67.1,68.2,66.7,66.5,67.7,68.0,68.4,67.8,66.6,67.5,68.0,66.8,67.5,67.7,66.3,68.1
2017-01-01 06:20:00,71.1,67.8,70.1,67.0,68.2,67.4,66.0,67.5,65.1,67.4,67.6,67.1,67.6,68.0,67.3,68.1,67.5,67.3,68.1
2017-01-01 06:25:00,71.4,68.2,70.0,66.7,68.3,65.9,66.0,67.7,68.0,67.3,67.7,66.6,67.7,67.9,67.7,67.6,67.7,67.4,68.1
2017-01-01 06:30:00,71.7,68.1,69.9,67.1,68.5,67.4,66.8,67.7,68.0,68.0,67.8,66.8,67.5,68.2,67.4,67.3,67.7,66.7,68.2
2017-01-01 06:35:00,71.4,68.2,70.3,67.1,68.4,66.7,66.6,67.6,68.0,68.0,67.8,67.2,67.5,67.5,67.7,67.6,67.6,67.7,68.0
2017-01-01 06:40:00,71.6,67.7,70.1,66.7,68.4,66.5,65.7,67.8,65.1,67.0,67.8,67.0,67.5,68.1,66.9,67.6,67.8,67.1,68.1
2017-01-01 06:45:00,71.8,67.7,69.8,67.1,68.5,66.7,66.1,67.8,65.1,67.5,67.9,67.1,67.7,67.5,67.4,67.4,67.8,67.7,68.2
2017-01-01 06:50:00,71.7,67.9,69.6,67.3,68.4,66.9,66.1,67.8,68.0,67.6,67.8,67.6,67.7,67.3,67.9,67.4,67.8,67.9,68.2
2017-01-01 06:55:00,72.0,67.8,70.0,67.1,68.4,67.3,66.2,67.8,68.0,67.2,67.8,67.3,67.6,68.1,67.1,67.6,67.8,67.4,68.0
2017-01-01 07:00:00,71.7,67.8,69.6,67.3,68.3,67.1,66.8,67.7,66.2,67.3,67.8,67.2,67.5,67.7,67.6,67.8,67.7,67.8,67.8
2017-01-01 07:05:00,71.7,68.3,70.1,67.3,68.3,67.0,67.2,67.6,65.7,67.3,67.6,66.8,67.4,67.9,67.3,67.8,67.6,66.9,67.8
2017-01-01 07:10:00,71.9,68.0,70.3,67.3,68.3,66.4,67.1,67.6,68.1,67.5,67.8,67.2,67.5,68.7,67.0,67.6,67.6,67.2,67.8
2017-01-01 07:15:00,71.9,68.3,70.7,67.2,68.3,66.8,66.8,67.7,66.1,67.4,67.7,66.9,67.5,67.9,67.7,67.8,67.7,67.2,68.0
2017-01-01 07:20:00,71.8,68.3,70.8,66.8,68.4,66.7,66.6,67.7,67.1,67.4,67.8,66.7,67.5,67.5,67.2,67.5,67.7,68.0,68.2
2017-01-01 07:25:00,71.5,68.2,69.9,67.0,68.4,67.2,67.0,67.8,66.0,67.5,67.9,67.0,67.6,67.9,67.0,66.9,67.8,68.2,68.3
2017-01-01 07:30:00,71.7,68.3,70.2,67.5,68.4,66.9,68.2,67.7,65.9,67.6,67.8,67.2,67.4,68.4,67.4,68.2,67.7,67.8,68.2
2017-01-01 07:35:00,71.5,68.4,70.2,67.2,68.4,67.0,67.8,67.8,66.2,67.4,67.9,67.4,67.6,68.7,67.4,68.0,67.8,67.9,68.2
2017-01-01 07:40:00,71.6,68.3,69.9,67.7,68.4,66.3,68.0,67.8,65.6,67.6,68.0,67.0,67.6,68.5,67.2,68.0,67.8,67.5,68.0
2017-01-01 07:45:00,71.8,68.1,70.3,67.4,68.5,66.8,67.9,67.8,65.8,68.1,67.9,67.5,67.7,67.9,67.5,68.0,67.8,68.6,68.1
2017-01-01 07:50:00,71.7,68.3,70.1,67.1,68.5,66.6,67.7,67.8,65.8,68.0,68.0,67.4,67.7,68.3,67.8,68.3,67.8,67.8,68.4
2017-01-01 07:55:00,72.0,67.9,70.6,67.4,68.5,66.9,67.2,67.8,65.9,68.2,67.9,67.1,67.7,68.3,67.3,68.1,67.8,67.5,68.3
2017-01-01 08:00:00,71.8,68.2,70.6,66.6,68.3,67.6,67.2,67.8,65.6,66.9,67.9,67.6,67.6,68.3,67.2,68.2,67.8,66.9,68.2
2017-01-01 08:05:00,71.7,67.8,70.4,67.1,68.2,67.0,67.5,67.7,65.5,67.1,67.8,67.1,67.5,68.1,67.0,68.2,67.7,67.8,68.1
2017-01-01 08:10:00,71.8,68.2,69.9,66.9,68.2,67.3,67.9,67.7,66.1,67.1,67.7,67.2,67.4,67.6,67.1,68.2,67.7,67.6,68.1
2017-01-01 08:15:00,71.9,67.9,70.0,67.2,68.3,67.6,67.2,67.6,66.4,67.7,67.6,67.3,67.5,68.6,67.1,68.1,67.6,68.3,68.0
