Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
₿itcoin (₿TC),@BitcoinConfVN,2025-04-24T19:37:46.000Z,True,Buy fear. Sell memes.  ₿TC,0,0,0,0,[],[],"['\\U0001f631', '\\u27a1\\ufe0f', '\\U0001f923']",https://pbs.twimg.com/profile_images/1912041676920463360/wkeIrtSS_bigger.jpg,https://x.com/BitcoinConfVN/status/1915490369778622592,tweet_id:1915490369778622592
Stoshi,@st0xix,2025-04-24T19:37:46.000Z,True,"It's been fixed for hours

Lesson still learned, hopefully. Return to Bitcoin.",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1788862750858555392/TjLpRl6q_bigger.jpg,https://x.com/st0xix/status/1915490368692642166,tweet_id:1915490368692642166
Tiago Cypherpunk,@cypherpunk2029,2025-04-24T19:37:46.000Z,False,"Algo que você controla. Algo que não pode ser congelado, inflacionado ou confiscado.
Se os EUA quiserem ser mais do que apenas poderosos, se quiserem continuar sendo relevantes, vão precisar adotar o #Bitcoin.",0,0,0,0,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1911922650252779520/lkv879hZ_bigger.jpg,https://x.com/cypherpunk2029/status/1915490367455326275,tweet_id:1915490367455326275
Portal,@PortaltoBitcoin,2025-04-24T19:37:46.000Z,True,Just follow the chaos,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1867670312487149568/nJDNKh2t_bigger.jpg,https://x.com/PortaltoBitcoin/status/1915490366410899924,tweet_id:1915490366410899924
Anonymous Bitcoin Club MINTING NOW!,@AnonBitcoinClub,2025-04-24T19:37:45.000Z,True,If our OG Collection doesn't connect then check out,0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1593768380116262914/5_ipq9Wf_bigger.jpg,https://x.com/AnonBitcoinClub/status/1915490363944648712,tweet_id:1915490363944648712
DigiBoy100,@DigicashB0100,2025-04-24T19:37:43.000Z,True,Everyone needs to know this!    #digicash #bitcoin #memecoins,0,0,0,1,"['#digicash', '#bitcoin', '#memecoins']","['@chaumdotcom', '@xx_network', '@digicash_inc']",[],https://pbs.twimg.com/profile_images/1904206962331688960/v_VCU1Ye_bigger.jpg,https://x.com/DigicashB0100/status/1915490357048987728,tweet_id:1915490357048987728
Matthew STEVENS-WALL - AKA BITCOIN - MAGA,@MatthewWALL481,2025-04-24T19:37:43.000Z,True,,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1768648508402204672/5CX0JZyH_bigger.jpg,https://x.com/MatthewWALL481/status/1915490355962695745,tweet_id:1915490355962695745
Captain Deplorable,@nonraticus,2025-04-24T19:37:41.000Z,True,"Now's the time to buy more bitcoin, the reverse prophet has spoken!",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1651031957898182656/YUPZ4-Kr_bigger.jpg,https://x.com/nonraticus/status/1915490348203229605,tweet_id:1915490348203229605
DOG is leveraged BTC,@Villband,2025-04-24T19:37:41.000Z,False,#Bitcoin é a saída,0,0,0,3,['#Bitcoin'],[],[],https://pbs.twimg.com/profile_images/1859038803802918912/IWtuFWEA_bigger.jpg,https://x.com/Villband/status/1915490347674718462,tweet_id:1915490347674718462
TknWire,@TknWire,2025-04-24T19:37:36.000Z,True,"1 /

-   ( $BTC)  (142) – ETF inflows $917M; $94K high; volatility with $36B institutional bets.
-   ( $ETH)  (45) – Active addresses +10%; ETF hopes; $3K target; BTC divergence.",0,0,0,4,[],"['@Bitcoin', '@ethereum']","['\\U0001f7e0', '\\U0001f537']",https://pbs.twimg.com/profile_images/1842581501868744704/a4tiOY34_bigger.jpg,https://x.com/TknWire/status/1915490325562327320,tweet_id:1915490325562327320
BitJo,@johan_laurent,2025-04-24T19:37:34.000Z,False,"But me... Power Law does not see this. Power Law guides Bitcoin, and If we go to 1 Mio in the next 12-24 Months we would break it, what would not be a good sign for Bitcoin.",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1784600094924328960/F_3z6RVe_bigger.jpg,https://x.com/johan_laurent/status/1915490317773791526,tweet_id:1915490317773791526
KM,@TheKNANC,2025-04-24T19:37:33.000Z,False,"Some of you also need to detach from ""what we have"" and ""what you want"". 

None of this is what I want. 

I wish everything was good for everybody and every human being was a reasonable nice person. 

Is that what we have? No. 

So I strategize for what we have. ",0,0,0,2,[''],[],[],https://pbs.twimg.com/profile_images/1749217351931977728/ecdtCBjX_bigger.jpg,https://x.com/TheKNANC/status/1915490313885581563,tweet_id:1915490313885581563
abzK main,@itz_abzK,2025-04-24T19:37:32.000Z,False,this get pinned & buy BITCOIN idk why but just do it. ,0,0,0,1,[],[],['\\U0001f4ae'],https://pbs.twimg.com/profile_images/1912884340754681856/gdYsR6tu_bigger.jpg,https://x.com/itz_abzK/status/1915490309141938543,tweet_id:1915490309141938543
BitcoinARS | Hard Work & Hard Money,@BitcoinARS,2025-04-24T19:37:31.000Z,True,Softwar.,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1908671963653984256/qjsNvyrn_bigger.jpg,https://x.com/BitcoinARS/status/1915490304859271187,tweet_id:1915490304859271187
Love Is Bitcoin,@LoveIsBitcoin21,2025-04-24T19:37:30.000Z,True,Order your own with the coupon code LOVEISBITCOIN for a discount,0,0,0,8,[],[],[],https://pbs.twimg.com/profile_images/1907801765577105409/fkOBKdgL_bigger.jpg,https://x.com/LoveIsBitcoin21/status/1915490300912689492,tweet_id:1915490300912689492
Matthew STEVENS-WALL - AKA BITCOIN - MAGA,@MatthewWALL481,2025-04-24T19:37:29.000Z,True,,0,0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1768648508402204672/5CX0JZyH_bigger.jpg,https://x.com/MatthewWALL481/status/1915490297888559158,tweet_id:1915490297888559158
Y,@_Y_nation,2025-04-24T19:37:28.000Z,True,"Interesting to see even the top analysts questioning cycle models. Maybe Bitcoin’s maturity means new rules, not no rules.",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1879508620552908800/am34Hv-y_bigger.jpg,https://x.com/_Y_nation/status/1915490292485980520,tweet_id:1915490292485980520
PeafTV,@Broutii,2025-04-24T19:37:27.000Z,False,"$BOAC   
-DEX paid  
-fair value distribution

HUaFE4ktkrgzwwPqe4SLpiW3Fj538kZkT7UwB3D3pump  

if you don't got enough for a bitcoin, buy a bit of a coin",0,0,0,3,[],[],[],https://pbs.twimg.com/profile_images/1912238768133701632/IDthciN0_bigger.jpg,https://x.com/Broutii/status/1915490287213854745,tweet_id:1915490287213854745
COINTURK Noticias,@escointurk,2025-04-24T19:37:26.000Z,False,"Trump Impacta el Mercado de Criptomonedas con Nuevas Declaraciones

Síguenos y mantente al día de las últimas novedades de #bitcoin #ethereum #ripple #criptodivisas #noticiascriptodivisas",0,0,0,3,"['#bitcoin', '#ethereum', '#ripple', '#criptodivisas', '#noticiascriptodivisas']",[],[],https://pbs.twimg.com/profile_images/1779808644575428608/f687Qwd5_bigger.png,https://x.com/escointurk/status/1915490284378398767,tweet_id:1915490284378398767
Skmini,@Skmini69,2025-04-24T19:37:26.000Z,False,"#Bitcoin giving the bulls exactly what they want to see.

On to $100,000 next?
Follow us on Telegram for FREE instant Crypto Signalshttps://t.me/+qRakFElM_pYyNWFk…$BTC $ETH $GUN $FUN $W $RARE $RATS $ADA $XRP $SOL $MLN $DOGE $ONDA $GALA",0,0,0,4,['#Bitcoin'],[],['\\U0001f680'],https://pbs.twimg.com/profile_images/1886477736711016448/wDhAjhnj_bigger.jpg,https://x.com/Skmini69/status/1915490283648934059,tweet_id:1915490283648934059
Norman Crypto Trade,@NormanLangenbtc,2025-04-24T19:37:20.000Z,False,"$PEPE #PEPE TRADE RECAP  Called the dip at 0.00000840 “Only long on a dip to 0.0080–0.0084” — nailed the bounce zone. Result? A clean 4.32% move up  +285.39% on 75x long!

Don’t chase, plan. Execute. Print. DM @FUTURESEXPERT001 to join",0,0,0,3,"['#PEPE', '', '', '']",[],"['\\U0001f680', '\\U0001f4cd', '\\u26a0\\ufe0f', '\\U0001f4c8', '\\u2795', '\\u2705']",https://pbs.twimg.com/profile_images/1905630158389710848/bG2CRsSN_bigger.jpg,https://x.com/NormanLangenbtc/status/1915490259430768870,tweet_id:1915490259430768870
Bitcoin Address Services,@address_btc,2025-04-24T19:37:19.000Z,True,"Let’s dive into a web3 riddle. I turn long addresses into something you can share,
Privacy is key, but I’m always fair.
I live on Bitcoin, no third parties involved.

What service am I, with privacy solved?",0,0,0,7,[],[],['\\U0001f5dd\\ufe0f'],https://pbs.twimg.com/profile_images/1790127017481961474/C7Q2pJlp_bigger.jpg,https://x.com/address_btc/status/1915490255211561129,tweet_id:1915490255211561129
JustPatrick,@1_800_Patrick,2025-04-24T19:37:19.000Z,False,"That sounds overblown though. Corporations are gonna do what Bitcoin always allowed them to do.

The difference for our grandchildren is still immeasurably positive.

They will be able to work & save with an appreciating monetary asset free of issuer debasement.",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1491959141228765192/WUOMB9mA_bigger.jpg,https://x.com/1_800_Patrick/status/1915490254997643702,tweet_id:1915490254997643702
Bitcoin Dog,@BitcoinToSaveUs,2025-04-24T19:37:19.000Z,True,Loving “Beat the Denominator” (link below) on YouTube rebutting the slide in which 21 Capital compared itself to   by making fake comparisons which are clearly misleading attempting to make itself look better than  by making it look inferior in several,0,0,0,11,[],"['@Strategy', '@MicroStrategy']",[],https://pbs.twimg.com/profile_images/1874077376008581120/DFEN_Thk_bigger.jpg,https://x.com/BitcoinToSaveUs/status/1915490254393336180,tweet_id:1915490254393336180
Antonio,@Antonio_Duscio,2025-04-24T19:37:18.000Z,True,"How many times you heard get to 1 Bitcoin?
Scenario 1.  You own 1 BTC.Bitcoin is at $100,000.  It goes up 1%.....ie. $1,000.  You are up $1,000.
Let's say Bitcoin is at $250,000.  It goes up 1%...ie. $2,500.  You are up up $2,500.  Let's say Bitcoin gets to $1 million. It goes",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1896919128138756096/sQUTaQ0j_bigger.jpg,https://x.com/Antonio_Duscio/status/1915490250392252699,tweet_id:1915490250392252699
₿itcoin Devote,@BitcoinDevote,2025-04-24T19:37:18.000Z,False,Give me the target! I need numbers!,0,0,0,13,[],[],[],https://pbs.twimg.com/profile_images/1730399070206771200/ANZ8fwgt_bigger.jpg,https://x.com/BitcoinDevote/status/1915490249595326572,tweet_id:1915490249595326572
Bitcoin France,@realBTCFrance,2025-04-24T19:37:17.000Z,False,∞/21M,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1818986608038658048/w_fZyv2a_bigger.jpg,https://x.com/realBTCFrance/status/1915490247170728010,tweet_id:1915490247170728010
Bitcoin Lawyer Guy,@btclawyerguy,2025-04-24T19:37:14.000Z,True,"CEP holders will own less than 3% of Twenty One upon closing 

CEP is a shell company with $100 million in the bank and no operations

CEP does not own any bitcoin

CEP is not Twenty One and is not anything like Strategy

CEP is trading today with a market cap of over $400",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1872074464717885440/RVHKCXmk_bigger.jpg,https://x.com/btclawyerguy/status/1915490234977898842,tweet_id:1915490234977898842
Matthew STEVENS-WALL - AKA BITCOIN - MAGA,@MatthewWALL481,2025-04-24T19:37:14.000Z,True,,0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1768648508402204672/5CX0JZyH_bigger.jpg,https://x.com/MatthewWALL481/status/1915490234873122893,tweet_id:1915490234873122893
Sparky Bitcoin,@SparkyBitcoin,2025-04-24T19:37:10.000Z,False,"Choose Freedom.
Choose Bitcoin.",0,0,0,4,[],[],[],https://pbs.twimg.com/profile_images/1911185957455343616/kE3nnBsW_bigger.jpg,https://x.com/SparkyBitcoin/status/1915490216757829879,tweet_id:1915490216757829879
Caspian,@Caspian_crypt,2025-04-24T19:37:09.000Z,False,Gold walks so Bitcoin can run,0,0,0,7,[],[],[],https://pbs.twimg.com/profile_images/1812550759042473984/GTfLE6Ec_bigger.jpg,https://x.com/Caspian_crypt/status/1915490212274393441,tweet_id:1915490212274393441
Compass Mining,@compass_mining,2025-04-24T19:37:09.000Z,True,"New pod dropping next week with  on his company, Constellation, and how it's leveraging bitcoin mining to heat pools and homes!",0,0,0,42,[],['@BTC_Grid'],[],https://pbs.twimg.com/profile_images/1696601601056583680/E6NftQCI_bigger.jpg,https://x.com/compass_mining/status/1915490212060303615,tweet_id:1915490212060303615
Nik,@SecretsN1nja,2025-04-24T19:37:06.000Z,True,"i understand bitcoin, i understand monero
after that have no idea",0,0,0,10,[],[],[],https://pbs.twimg.com/profile_images/1892439004324503552/cgj408qj_bigger.jpg,https://x.com/SecretsN1nja/status/1915490201931047220,tweet_id:1915490201931047220
₿itcoin (₿TC),@BitcoinConfVN,2025-04-24T19:37:06.000Z,True,Goodnight ,0,0,0,2,[],[],['\\U0001f314'],https://pbs.twimg.com/profile_images/1912041676920463360/wkeIrtSS_bigger.jpg,https://x.com/BitcoinConfVN/status/1915490200853110845,tweet_id:1915490200853110845
MEKANİK 51,@mekanik51x,2025-04-24T19:37:05.000Z,False,"Bitcoin yatırımlarına %20 bonus #Marsbahis ten Marsbahis ile zirveye oyna ! 

Giriş: https://bit.ly/3Wk8sOA#casibom #grandpashabet #denemebonusu #dumanbet #holiganbet",0,0,0,5,"['#Marsbahis', '#casibom', '#grandpashabet', '#denemebonusu', '#dumanbet', '#holiganbet']",[],"['\\U0001f680', '\\U0001f680']",https://pbs.twimg.com/profile_images/1889732129069625344/H6lPdou__bigger.jpg,https://x.com/mekanik51x/status/1915490197476643040,tweet_id:1915490197476643040
SENATOR,@Senator_NFTs,2025-04-24T19:37:05.000Z,True,"GN from the only team making Bitcoin productive. is turning $BTC into yield-generating capital, Not wrapped. Not bridged. Just staked, liquid, and on-chain.

Built on Babylon. Backed by giants.
And quietly becoming Bitcoin’s DeFi layer.",0,0,0,5,[],['@Lombard_Finance'],[],https://pbs.twimg.com/profile_images/1889420159535751168/DAoazZR8_bigger.jpg,https://x.com/Senator_NFTs/status/1915490196394578281,tweet_id:1915490196394578281
Driftzzzz,@rtmedi4,2025-04-24T19:37:05.000Z,False,"Green green

Who wants a bit of bitcoin???

Ca HUaFE4ktkrgzwwPqe4SLpiW3Fj538kZkT7UwB3D3pump

Might be the ticker 30k",0,0,0,2,[],[],[],https://pbs.twimg.com/profile_images/1913446148888481792/hB0hjvBi_bigger.jpg,https://x.com/rtmedi4/status/1915490195354341402,tweet_id:1915490195354341402
Markus Heritsch,@HeritschMarkus,2025-04-24T19:37:03.000Z,False,"Dann verstehen wir uns ja eigentlich. Und das obwohl ich krimineller Umweltverschandler bin, weil ich Bitcoin hab….",0,0,0,1,[],[],[],https://pbs.twimg.com/profile_images/1534253199141519362/BvhqrrgS_bigger.jpg,https://x.com/HeritschMarkus/status/1915490186475049237,tweet_id:1915490186475049237
Kriptofoni,@kriptofoni,2025-04-24T19:37:03.000Z,True,Bu Gösterge Çok Konuşulacak! Bitcoin Fiyatında Zirve Mesaisi,0,0,0,5,[],[],[],https://pbs.twimg.com/profile_images/1785062244809687040/nS0OcqIo_bigger.jpg,https://x.com/kriptofoni/status/1915490186470830082,tweet_id:1915490186470830082
PeafTV,@Broutii,2025-04-24T19:37:03.000Z,False,"$BOAC 

-DEX paid 
-fair value distribution

HUaFE4ktkrgzwwPqe4SLpiW3Fj538kZkT7UwB3D3pump

if you don't got enough for a bitcoin, buy a bit of a coin",0,0,0,9,[],[],[],https://pbs.twimg.com/profile_images/1912238768133701632/IDthciN0_bigger.jpg,https://x.com/Broutii/status/1915490186399502639,tweet_id:1915490186399502639
